Latitude,Longitude
55.73437,37.767709
55.733219,37.761937
55.731936,37.761229
55.730991,37.760435
55.730108,37.759233
55.729248,37.757431
55.728703,37.755993
55.728243,37.753676
55.726747,37.744803
55.726121,37.741595
55.724973,37.734997
55.723435,37.72665
55.721764,37.71708
55.723581,37.714912
55.721921,37.709333
55.720916,37.705696
55.719844,37.702059
55.720383,37.701008
55.721292,37.699077
55.72174,37.697897
55.72349,37.6928
55.725397,37.687286
55.727831,37.680194
55.72837,37.680473
55.728406,37.681396
55.729236,37.681267
55.729375,37.683692
55.729599,37.683906
55.730065,37.683842
55.730156,37.685902
55.732983,37.685397
55.732426,37.687071
55.731857,37.68809
55.730077,37.691127
55.729684,37.691867
55.729423,37.692511
55.729321,37.69309
55.729333,37.69338
55.729417,37.693723
55.7315,37.695354
55.7338,37.69707
55.735447,37.698326
55.7365,37.698519
55.736349,37.699635
55.737311,37.69912
55.738661,37.698369
55.738988,37.698272
55.740271,37.697596
55.740928,37.697167
55.741585,37.696609
55.741905,37.697489
55.741978,37.700482
55.744133,37.700815
55.744072,37.701952
55.743885,37.704849
55.743636,37.707617
55.743279,37.711501
55.741524,37.712069
55.739757,37.712981
55.738625,37.713571
55.737826,37.714151
55.737045,37.714988
55.73621,37.715932
55.735529,37.717192
55.734993,37.718453
55.734575,37.719558
55.734248,37.720577
55.733982,37.723066
55.733873,37.724375
55.733437,37.728924
55.735592,37.730212
55.736246,37.730577
55.737311,37.731113
55.738546,37.731478
55.739369,37.731843
55.74081,37.732851
55.742511,37.733784
55.744399,37.73505
55.746033,37.736488
55.745458,37.738516
55.745295,37.739031
55.744278,37.741252
55.743249,37.742958
55.7413,37.745393
55.740653,37.746359
55.739811,37.747893
55.73903,37.749964
55.738625,37.751305
55.738159,37.753858
55.737826,37.756562
55.73733,37.760016
55.737202,37.760789
55.736966,37.761755
55.736736,37.762388
55.73581,37.764372
55.735438,37.765182
55.735102,37.765992
55.734721,37.766969
55.73437,37.767709
