Latitude,Longitude
55.658792,37.369483
55.658186,37.368979
55.656232,37.368185
55.653315,37.368013
55.653224,37.36811
55.653248,37.368378
55.653284,37.368678
55.653193,37.369033
55.653048,37.369193
55.652969,37.368968
55.652914,37.368646
55.652763,37.368292
55.652599,37.368442
55.652308,37.368646
55.651998,37.368915
55.651367,37.369826
55.651034,37.370985
55.650997,37.374021
55.651094,37.37606
55.651094,37.376629
55.650724,37.376913
55.650415,37.376811
55.650294,37.376714
55.649705,37.376934
55.649129,37.376854
55.648552,37.375481
55.648292,37.37547
55.648298,37.375738
55.648043,37.375652
55.647958,37.374998
55.647491,37.3743
55.647187,37.374343
55.647145,37.375073
55.646927,37.375041
55.646532,37.374279
55.645883,37.374247
55.64493,37.373903
55.64476,37.373174
55.644366,37.373388
55.644008,37.373635
55.64368,37.374139
55.643602,37.37444
55.643219,37.374494
55.643007,37.374386
55.642255,37.375363
55.642054,37.375738
55.641854,37.375663
55.641805,37.375298
55.641569,37.375405
55.641168,37.374815
55.641114,37.374461
55.64075,37.374547
55.640537,37.373979
55.640343,37.373882
55.640258,37.374118
55.639402,37.374236
55.639051,37.374
55.638462,37.374483
55.638292,37.374944
55.638025,37.374558
55.637691,37.374826
55.637825,37.375513
55.636945,37.375363
55.636283,37.376596
55.636223,37.377122
55.635221,37.378055
55.634833,37.377444
55.633898,37.377937
55.633188,37.378517
55.633073,37.379107
55.632593,37.379836
55.632539,37.380775
55.63235,37.3818
55.632429,37.382476
55.63263,37.38283
55.632399,37.384096
55.632602,37.384541
55.632976,37.384836
55.632259,37.387057
55.631913,37.386596
55.631968,37.386435
55.631367,37.385748
55.629583,37.382916
55.627513,37.379547
55.626718,37.378249
55.625024,37.375523
55.625309,37.374987
55.624617,37.373807
55.62486,37.373163
55.625358,37.370824
55.627919,37.36782
55.630578,37.365589
55.62991,37.363786
55.629728,37.362756
55.630621,37.361211
55.631561,37.359838
55.633285,37.359988
55.633734,37.359666
55.633746,37.358722
55.634123,37.357692
55.634414,37.358035
55.635197,37.355933
55.635452,37.35383
55.635834,37.352027
55.636265,37.350557
55.634833,37.34824
55.634068,37.346202
55.633243,37.342575
55.634147,37.342221
55.6355,37.338552
55.635179,37.336074
55.638328,37.33485
55.63953,37.332554
55.639318,37.330022
55.63973,37.328488
55.641532,37.327158
55.642758,37.330645
55.644469,37.331546
55.646035,37.331932
55.647388,37.330774
55.648049,37.33204
55.64905,37.333198
55.649499,37.333649
55.650658,37.334346
55.651313,37.334893
55.652095,37.335795
55.652502,37.336556
55.653072,37.337822
55.653557,37.339335
55.654255,37.342886
55.65474,37.342597
55.654874,37.341964
55.655371,37.342479
55.655553,37.342425
55.655875,37.341883
55.656172,37.341535
55.656366,37.341642
55.656627,37.341341
55.656894,37.341545
55.656536,37.342146
55.656232,37.342543
55.655905,37.343015
55.655656,37.343498
55.65545,37.344152
55.655559,37.344903
55.655802,37.345311
55.656123,37.34588
55.656439,37.346502
55.657506,37.344249
55.658301,37.345311
55.659144,37.346244
55.659417,37.346695
55.659562,37.345912
55.659772,37.345107
55.66001,37.344705
55.660224,37.344045
55.660224,37.343165
55.659996,37.342194
55.66022,37.342323
55.660578,37.342602
55.660936,37.342881
55.661136,37.34316
55.661343,37.343267
55.661712,37.343729
55.662167,37.343621
55.662361,37.343804
55.662495,37.344168
55.662052,37.347838
55.663047,37.348278
55.664126,37.348203
55.665739,37.347988
55.665806,37.348342
55.665612,37.349908
55.665194,37.351024
55.664993,37.351153
55.663829,37.353556
55.662592,37.350692
55.661979,37.350649
55.661549,37.351035
55.660985,37.351936
55.660724,37.353535
55.661264,37.355337
55.661937,37.35715
55.662604,37.358363
55.666637,37.358481
55.669087,37.363673
55.668335,37.369639
55.667868,37.369993
55.660882,37.3698
55.659147,37.369649
55.658941,37.370465
55.658789,37.369489
