Latitude,Longitude
55.735692,37.774411
55.73654,37.773638
55.736491,37.772051
55.737629,37.773724
55.738331,37.774518
55.738343,37.775634
55.738537,37.776621
55.742048,37.778402
55.741951,37.779346
55.742689,37.77984
55.742253,37.780526
55.743742,37.781385
55.74367,37.782415
55.744832,37.783123
55.745824,37.783251
55.745516,37.78794
55.748844,37.785966
55.750901,37.784764
55.752172,37.791438
55.753915,37.800965
55.753322,37.805621
55.756069,37.806844
55.758198,37.807745
55.758053,37.808861
55.759081,37.809269
55.759227,37.808175
55.760243,37.808647
55.759372,37.815062
55.758597,37.820105
55.757617,37.826907
55.756916,37.826692
55.756335,37.826349
55.753479,37.825148
55.750611,37.823774
55.749643,37.830512
55.749292,37.831048
55.748711,37.829697
55.748408,37.829225
55.74675,37.827401
55.746121,37.827916
55.744317,37.81871
55.742732,37.810707
55.740746,37.800879
55.73881,37.790965
55.738277,37.788112
55.737744,37.785215
55.73657,37.779099
55.735692,37.774411
