Latitude,Longitude
55.74704,37.842528
55.74704,37.841992
55.743772,37.841885
55.741097,37.841648
55.736811,37.841112
55.732671,37.84064
55.73062,37.840404
55.730947,37.841681
55.731141,37.843977
55.731238,37.84756
55.731189,37.84874
55.731189,37.849405
55.730971,37.854491
55.730766,37.859083
55.73062,37.8611
55.732449,37.861937
55.732497,37.869447
55.73326,37.868589
55.733284,37.867838
55.73309,37.867387
55.733102,37.866121
55.733732,37.864898
55.735136,37.863846
55.735948,37.864834
55.736601,37.865906
55.73734,37.86758
55.737957,37.869404
55.73832,37.871206
55.738139,37.87303
55.73786,37.878073
55.74177,37.88009
55.742358,37.880015
55.74263,37.880487
55.742739,37.88157
55.742666,37.882922
55.742709,37.884135
55.742654,37.885594
55.742594,37.886409
55.742055,37.888555
55.741867,37.890089
55.741964,37.890164
55.741976,37.890347
55.742914,37.890025
55.744446,37.889521
55.746328,37.88892
55.747943,37.888405
55.748313,37.888297
55.748912,37.884832
55.749293,37.882547
55.748361,37.877783
55.747169,37.871625
55.745977,37.865434
55.745468,37.86287
55.745208,37.860145
55.745063,37.85816
55.744984,37.855929
55.744863,37.85286
55.744603,37.850323
55.74447,37.84786
55.744845,37.845768
55.745892,37.84373
55.746267,37.843193
55.747042,37.842528
