Latitude,Longitude
55.655765,37.539052
55.655899,37.538505
55.656154,37.536939
55.656566,37.532808
55.656997,37.52856
55.657282,37.525427
55.656105,37.523914
55.655274,37.522777
55.655844,37.521564
55.655638,37.520416
55.655062,37.520009
55.654989,37.521071
55.654661,37.521961
55.652945,37.519708
55.651167,37.517348
55.649347,37.514955
55.648061,37.513217
55.648965,37.511007
55.64993,37.50884
55.64794,37.506211
55.646848,37.504699
55.64476,37.501995
55.642728,37.499291
55.642176,37.49854
55.643856,37.494195
55.645549,37.489818
55.64652,37.487232
55.646702,37.486309
55.648161,37.483418
55.64925,37.48176
55.651762,37.487329
55.654043,37.492275
55.655632,37.495676
55.65807,37.500718
55.658531,37.501641
55.659017,37.502424
55.660812,37.505139
55.662577,37.507735
55.665281,37.51179
55.667816,37.515567
55.670872,37.520095
55.673649,37.52415
55.671248,37.529321
55.670666,37.530008
55.66909,37.531038
55.668653,37.531531
55.66835,37.53224
55.66818,37.532991
55.668144,37.53387
55.668277,37.53681
55.668423,37.54005
55.668568,37.540705
55.668647,37.541434
55.668799,37.541842
55.669399,37.541456
55.670278,37.54152
55.670812,37.541713
55.671382,37.542099
55.672315,37.542926
55.673037,37.543709
55.673661,37.544642
55.67274,37.547357
55.671182,37.551948
55.670321,37.554727
55.668871,37.553139
55.666961,37.551079
55.665191,37.549191
55.66328,37.547153
55.661327,37.54505
55.659168,37.542765
55.658113,37.541638
55.655765,37.539052
