Latitude,Longitude
55.630636,37.729001
55.631267,37.726083
55.631097,37.721148
55.631583,37.716813
55.630587,37.707028
55.62981,37.704539
55.629859,37.698917
55.6293,37.695098
55.627989,37.69321
55.628111,37.690635
55.630199,37.689476
55.631243,37.689648
55.633379,37.690764
55.634186,37.690324
55.634975,37.688736
55.635139,37.688468
55.635479,37.688232
55.636074,37.688124
55.636389,37.688242
55.636511,37.687738
55.636444,37.687459
55.63659,37.686923
55.633938,37.686011
55.63236,37.685474
55.630891,37.684702
55.630114,37.683994
55.628269,37.681783
55.626186,37.679251
55.624165,37.676719
55.621803,37.673812
55.620565,37.672299
55.619915,37.671462
55.619442,37.672643
55.619612,37.672943
55.620079,37.673512
55.621415,37.674778
55.621724,37.675217
55.621894,37.675689
55.621985,37.67628
55.622004,37.676848
55.621761,37.679423
55.62153,37.679391
55.620316,37.678887
55.619247,37.678919
55.618282,37.678232
55.61728,37.677985
55.616139,37.67805
55.615744,37.678007
55.615367,37.676752
55.614712,37.67658
55.614335,37.677964
55.613673,37.67849
55.61176,37.679734
55.609981,37.68056
55.609848,37.681837
55.608949,37.684058
55.608688,37.684691
55.607977,37.686214
55.607764,37.686633
55.607843,37.686826
55.607734,37.686869
55.607412,37.687287
55.607461,37.687845
55.607379,37.688097
55.607321,37.688757
55.607509,37.688704
55.607576,37.688822
55.607509,37.688961
55.607358,37.689015
55.607406,37.689197
55.607297,37.689734
55.607351,37.690034
55.607248,37.690238
55.607333,37.690506
55.60723,37.690806
55.607084,37.690967
55.606908,37.691203
55.605912,37.691579
55.605517,37.691879
55.605274,37.692137
55.604242,37.694969
55.604248,37.695431
55.605621,37.696267
55.6059,37.696568
55.605955,37.696997
55.605955,37.697512
55.605918,37.69807
55.605979,37.698735
55.606058,37.699282
55.606331,37.69969
55.606653,37.700033
55.606926,37.700816
55.607585,37.699915
55.608026,37.701165
55.608387,37.702276
55.60856,37.703043
55.608696,37.703611
55.608793,37.704126
55.608951,37.705167
55.609583,37.709115
55.61019,37.712956
55.61084,37.716969
55.611064,37.718042
55.611629,37.721882
55.612279,37.726131
55.613002,37.73038
55.614447,37.729629
55.616147,37.728781
55.617568,37.728191
55.61959,37.72773
55.621496,37.727687
55.623081,37.72788
55.623093,37.729082
55.624355,37.72921
55.624374,37.728577
55.62597,37.728642
55.626055,37.727419
55.626632,37.727483
55.626802,37.727301
55.627919,37.727912
55.629005,37.728502
55.629436,37.728985
55.629819,37.727955
55.629934,37.72818
55.630292,37.728577
55.630638,37.729006
