Latitude,Longitude
55.619067,37.774872
55.6189,37.774845
55.618791,37.774958
55.618554,37.775736
55.618351,37.775655
55.617902,37.775301
55.617691,37.774427
55.617606,37.774041
55.617417,37.773773
55.617181,37.773697
55.617023,37.773837
55.616914,37.773783
55.616847,37.773408
55.616865,37.772968
55.61664,37.772764
55.616425,37.772469
55.616246,37.77211
55.616176,37.771831
55.616015,37.771664
55.615881,37.771444
55.61576,37.771144
55.615787,37.771074
55.615687,37.770597
55.61573,37.770393
55.615693,37.770275
55.615544,37.769883
55.615493,37.769567
55.615326,37.769052
55.615264,37.768424
55.615061,37.767754
55.614985,37.767158
55.614739,37.766938
55.61456,37.766311
55.614387,37.766037
55.614317,37.764691
55.614186,37.764224
55.613986,37.764186
55.613792,37.763913
55.613652,37.76343
55.613579,37.763022
55.613673,37.76248
55.613758,37.761955
55.61378,37.761504
55.613701,37.761107
55.613546,37.760957
55.613491,37.760807
55.613455,37.760576
55.613045,37.75997
55.612717,37.759428
55.612623,37.758929
55.612586,37.758296
55.612553,37.75813
55.612383,37.758006
55.612128,37.757899
55.611918,37.75732
55.611745,37.756451
55.611879,37.755646
55.611934,37.755094
55.611952,37.754659
55.612003,37.754284
55.611949,37.754058
55.611937,37.753849
55.611924,37.753506
55.611921,37.753264
55.611845,37.753087
55.611782,37.75261
55.611757,37.752154
55.61166,37.751349
55.611587,37.751151
55.611542,37.750925
55.611487,37.750421
55.611402,37.74967
55.61132,37.749198
55.611314,37.74893
55.611326,37.748565
55.611187,37.748206
55.611077,37.747374
55.611092,37.746548
55.611086,37.744654
55.611162,37.741693
55.611332,37.738078
55.611278,37.735406
55.61149,37.733668
55.611587,37.733389
55.611302,37.731276
55.613001,37.730374
55.612272,37.726126
55.611641,37.721899
55.610924,37.71735
55.609564,37.709131
55.608677,37.703638
55.6083,37.701943
55.607559,37.699926
55.606928,37.700806
55.60674,37.700559
55.606667,37.700108
55.606375,37.699733
55.606053,37.699282
55.605908,37.698392
55.605956,37.697351
55.605901,37.696621
55.605488,37.696139
55.605318,37.696192
55.604091,37.695452
55.603812,37.695677
55.603575,37.696021
55.603071,37.696031
55.602834,37.696224
55.602631,37.696069
55.602682,37.69704
55.602612,37.697249
55.602467,37.697609
55.601978,37.69925
55.601978,37.699443
55.602187,37.699947
55.602045,37.700216
55.60171,37.700173
55.601331,37.700827
55.601018,37.700897
55.600742,37.701637
55.600408,37.701895
55.600013,37.701369
55.599472,37.702077
55.599569,37.702324
55.599083,37.702517
55.599059,37.703429
55.598865,37.703654
55.598804,37.704105
55.598543,37.704094
55.598482,37.704759
55.598245,37.704877
55.598324,37.705188
55.598209,37.705446
55.5983,37.706047
55.598257,37.706862
55.598312,37.707077
55.598263,37.707377
55.598312,37.707517
55.598263,37.707817
55.598366,37.708203
55.598093,37.708933
55.598172,37.709233
55.598002,37.709823
55.597795,37.709931
55.597644,37.710939
55.597139,37.711765
55.597212,37.712151
55.597,37.712216
55.596143,37.714431
55.595116,37.716261
55.594758,37.717612
55.594041,37.719222
55.592437,37.720252
55.590882,37.722076
55.588208,37.72199
55.59008,37.726367
55.589594,37.730466
55.589035,37.731839
55.589326,37.73259
55.590165,37.732075
55.590736,37.732075
55.59251,37.732783
55.592875,37.733212
55.597565,37.744306
55.599922,37.749928
55.601039,37.752631
55.602133,37.754906
55.606409,37.762674
55.611583,37.772072
55.615202,37.778638
55.616793,37.781406
55.616939,37.782114
55.616939,37.783616
55.617084,37.783745
55.617315,37.783176
55.618432,37.781127
55.618954,37.779303
55.619027,37.776514
55.61907,37.774872
