Latitude,Longitude
55.847137,37.599456
55.846515,37.599252
55.846563,37.597492
55.846416,37.594402
55.846183,37.592536
55.846147,37.591785
55.84599,37.591881
55.844741,37.590175
55.844753,37.58701
55.844089,37.586892
55.843648,37.586367
55.843032,37.586882
55.842905,37.586377
55.84241,37.586774
55.84011,37.588845
55.839748,37.587407
55.839646,37.587461
55.839476,37.586839
55.839996,37.585862
55.839911,37.585165
55.838341,37.581903
55.838661,37.581281
55.838541,37.580444
55.836723,37.580283
55.834834,37.580337
55.833874,37.580401
55.833548,37.584114
55.832835,37.5845
55.833566,37.591431
55.835854,37.590712
55.836108,37.590937
55.835866,37.591173
55.835238,37.592267
55.833674,37.594853
55.832757,37.596441
55.830921,37.600089
55.830571,37.600647
55.830245,37.600947
55.829441,37.601237
55.827334,37.601698
55.823565,37.602449
55.821439,37.602943
55.817984,37.603608
55.816861,37.603994
55.813358,37.609444
55.810893,37.613285
55.810338,37.613993
55.80861,37.616826
55.806326,37.620431
55.804912,37.622598
55.802495,37.626053
55.800863,37.6291
55.799679,37.630902
55.79685,37.634872
55.800222,37.635708
55.802217,37.636116
55.805782,37.636781
55.808428,37.637318
55.810144,37.637447
55.811377,37.637661
55.813817,37.638283
55.816657,37.638713
55.818239,37.639099
55.81923,37.639614
55.82045,37.640772
55.823398,37.644013
55.828966,37.649806
55.832178,37.640107
55.832553,37.639378
55.833229,37.637382
55.833507,37.636953
55.833821,37.636867
55.833785,37.634786
55.835318,37.634679
55.836,37.632962
55.836006,37.631996
55.83815,37.631868
55.838373,37.631546
55.838699,37.632114
55.838578,37.632844
55.838512,37.633691
55.838415,37.634389
55.837812,37.636706
55.841597,37.636245
55.845146,37.635912
55.845702,37.635816
55.845738,37.63455
55.845792,37.632855
55.845998,37.626739
55.846939,37.626632
55.850971,37.626289
55.853108,37.626053
55.855298,37.62587
55.856104,37.625554
55.856579,37.625224
55.857109,37.62499
55.857646,37.625162
55.857821,37.625119
55.857965,37.624776
55.858243,37.623295
55.858581,37.622458
55.859257,37.620291
55.855117,37.620356
55.854502,37.620077
55.853995,37.619733
55.851231,37.616901
55.847344,37.613253
55.846885,37.61424
55.846487,37.614304
55.846619,37.610034
55.846776,37.606215
55.846994,37.601602
55.847138,37.599456
