Latitude,Longitude
55.879297,37.607263
55.878404,37.602864
55.875606,37.589882
55.874798,37.586234
55.872626,37.585977
55.869248,37.585011
55.870153,37.583316
55.869803,37.576621
55.870491,37.575634
55.871166,37.572888
55.870792,37.571096
55.864812,37.573703
55.864185,37.573853
55.863702,37.574154
55.862375,37.574669
55.86077,37.574712
55.859285,37.574476
55.855629,37.573016
55.85441,37.572716
55.851078,37.573038
55.848459,37.573853
55.847879,37.577984
55.847747,37.581889
55.847771,37.584915
55.847698,37.586824
55.847553,37.590279
55.847336,37.595086
55.847276,37.597017
55.847095,37.600257
55.846956,37.602639
55.846865,37.604978
55.846769,37.606651
55.846479,37.614483
55.847034,37.614183
55.847445,37.613196
55.850233,37.615878
55.854262,37.619987
55.855131,37.620384
55.859254,37.620309
55.858506,37.622627
55.85818,37.623399
55.857944,37.62489
55.857709,37.62518
55.857371,37.625094
55.857003,37.626789
55.856879,37.628769
55.856919,37.630748
55.857057,37.630995
55.857504,37.631295
55.857999,37.63298
55.859097,37.632851
55.860014,37.63328
55.860786,37.63401
55.86136,37.635104
55.861897,37.634289
55.862355,37.634181
55.862542,37.633903
55.862657,37.633967
55.863025,37.6346
55.863357,37.634643
55.863417,37.634428
55.863321,37.633817
55.863613,37.633211
55.863942,37.632883
55.864213,37.63313
55.864413,37.633152
55.864775,37.632583
55.865239,37.632046
55.865396,37.631639
55.865336,37.631328
55.865125,37.631049
55.865161,37.630673
55.865275,37.630383
55.865408,37.630416
55.865619,37.630619
55.865933,37.630459
55.866186,37.630652
55.8665,37.630416
55.866928,37.630383
55.8679,37.62989
55.868316,37.629407
55.868889,37.628957
55.868949,37.627991
55.869179,37.627809
55.869854,37.62754
55.869993,37.627272
55.870005,37.626725
55.870105,37.626344
55.870264,37.626113
55.870349,37.625867
55.87047,37.625105
55.87053,37.624654
55.870874,37.623796
55.871097,37.623313
55.871978,37.62238
55.872231,37.621629
55.872358,37.62077
55.872726,37.619719
55.873311,37.618957
55.87433,37.618077
55.87462,37.617123
55.874837,37.616608
55.874981,37.61649
55.875132,37.616221
55.875247,37.616307
55.875331,37.616661
55.875784,37.616575
55.875928,37.616693
55.87632,37.616533
55.876833,37.616726
55.87708,37.616511
55.877014,37.616339
55.87699,37.615878
55.877267,37.615535
55.8774,37.615685
55.87737,37.616093
55.877702,37.616071
55.877798,37.615824
55.877973,37.61591
55.878172,37.615685
55.878377,37.61591
55.878389,37.616211
55.878474,37.616404
55.878673,37.616286
55.878775,37.6165
55.87889,37.616511
55.879089,37.61679
55.879457,37.616983
55.880277,37.61679
55.879675,37.609548
55.879295,37.607263
