Latitude,Longitude
55.709938,37.454702
55.710325,37.45805
55.710301,37.459294
55.710955,37.460539
55.711125,37.462341
55.710253,37.463972
55.71098,37.465603
55.71144,37.465603
55.711561,37.466247
55.711295,37.466933
55.712312,37.468178
55.713475,37.463757
55.714347,37.464401
55.715219,37.465732
55.715534,37.46689
55.714735,37.468693
55.713911,37.467963
55.713584,37.468779
55.713645,37.470023
55.713935,37.470581
55.713742,37.471353
55.714226,37.471525
55.714723,37.470688
55.715292,37.471547
55.715801,37.470624
55.716104,37.471461
55.716964,37.472147
55.718017,37.470452
55.718248,37.469315
55.71941,37.470066
55.718417,37.472083
55.718877,37.472877
55.719689,37.472963
55.721542,37.476761
55.721167,37.478413
55.721154,37.479894
55.721142,37.48279
55.720779,37.484593
55.719544,37.486631
55.719023,37.48661
55.719204,37.487447
55.718865,37.48867
55.718345,37.488584
55.718466,37.490515
55.71809,37.492425
55.718986,37.493133
55.71958,37.492468
55.720137,37.492682
55.720149,37.494614
55.718817,37.493541
55.718017,37.493283
55.717218,37.493112
55.714662,37.493348
55.714044,37.493197
55.712064,37.492146
55.710083,37.490966
55.709041,37.490247
55.707999,37.489099
55.707176,37.487811
55.706497,37.486395
55.705431,37.483842
55.704219,37.480859
55.703504,37.4791
55.702765,37.477405
55.70262,37.477061
55.700002,37.472705
55.698439,37.470066
55.697361,37.468564
55.696052,37.467555
55.694446,37.466418
55.693228,37.468017
55.691889,37.469766
55.689052,37.473467
55.685913,37.477555
55.684052,37.474229
55.683064,37.472534
55.681603,37.470313
55.679475,37.467201
55.677639,37.464584
55.675723,37.461891
55.674898,37.460732
55.67405,37.45938
55.67337,37.458082
55.672685,37.45658
55.671879,37.454498
55.671006,37.451591
55.669951,37.448147
55.669466,37.446795
55.668826,37.445449
55.668083,37.444102
55.667586,37.443383
55.665912,37.441441
55.664505,37.439811
55.663608,37.438609
55.662771,37.436528
55.662092,37.432644
55.664129,37.430809
55.666955,37.428631
55.671406,37.425359
55.675893,37.42199
55.680682,37.418385
55.68067,37.41787
55.68207,37.41551
55.682137,37.415145
55.682288,37.415059
55.682415,37.415231
55.683616,37.41477
55.68444,37.41478
55.685252,37.41507
55.686592,37.414673
55.68798,37.414051
55.689258,37.413364
55.690531,37.412527
55.69178,37.411476
55.693476,37.40963
55.696906,37.40506
55.698882,37.402335
55.699281,37.403258
55.700227,37.405639
55.700639,37.405983
55.701693,37.405446
55.702371,37.404416
55.70282,37.40476
55.703971,37.407184
55.70643,37.411261
55.706685,37.411948
55.707521,37.412012
55.704601,37.419737
55.704492,37.420617
55.708393,37.421497
55.708308,37.423363
55.707182,37.426861
55.706552,37.42832
55.706067,37.4292
55.705643,37.429436
55.704964,37.429565
55.703971,37.429779
55.702965,37.430509
55.702989,37.431389
55.70328,37.431582
55.704177,37.432633
55.7058,37.436238
55.705728,37.438749
55.706018,37.441967
55.705752,37.442074
55.706745,37.447932
55.707,37.447889
55.709471,37.448726
55.709326,37.451655
55.709059,37.454971
55.709932,37.454713
