Latitude,Longitude
55.767894,37.801319
55.764652,37.784453
55.766043,37.78353
55.765898,37.78102
55.765547,37.775473
55.762123,37.766246
55.762692,37.76556
55.762135,37.764143
55.760369,37.754466
55.759583,37.753672
55.758386,37.752513
55.758047,37.750625
55.757599,37.748222
55.756135,37.740883
55.753848,37.729103
55.751966,37.719479
55.751349,37.720091
55.750811,37.720885
55.74977,37.723009
55.749376,37.724007
55.748263,37.727816
55.747652,37.73023
55.746756,37.733834
55.746024,37.736463
55.745806,37.737321
55.745292,37.739059
55.744559,37.740647
55.74422,37.741377
55.74347,37.742611
55.742344,37.744113
55.741273,37.745432
55.74068,37.746301
55.739826,37.747846
55.739027,37.749971
55.738622,37.751333
55.738507,37.75188
55.738162,37.753876
55.737811,37.756698
55.737375,37.759702
55.73723,37.760646
55.736976,37.761751
55.736752,37.762373
55.735825,37.764358
55.735238,37.765635
55.734754,37.766879
55.734379,37.767695
55.735692,37.774411
55.73654,37.773638
55.736491,37.772051
55.737629,37.773724
55.738331,37.774518
55.738343,37.775634
55.738537,37.776621
55.742048,37.778402
55.741951,37.779346
55.742689,37.77984
55.742253,37.780526
55.743742,37.781385
55.74367,37.782415
55.744832,37.783123
55.745824,37.783251
55.745516,37.78794
55.748844,37.785966
55.750901,37.784764
55.752172,37.791438
55.753915,37.800965
55.753322,37.805621
55.756069,37.806844
55.758198,37.807745
55.758053,37.808861
55.759081,37.809269
55.759227,37.808175
55.760243,37.808647
55.760872,37.803947
55.76109,37.80296
55.76109,37.801909
55.76086,37.8006
55.762336,37.799806
55.766171,37.801458
55.767889,37.80133
