Latitude,Longitude
55.833614,37.395855
55.83275,37.401219
55.832521,37.402485
55.832364,37.403172
55.831676,37.405457
55.831953,37.405704
55.832044,37.406047
55.832418,37.406734
55.83333,37.408139
55.832932,37.409303
55.832763,37.410682
55.83298,37.411454
55.833234,37.411905
55.833288,37.412356
55.833185,37.412913
55.833052,37.413278
55.833221,37.414705
55.833529,37.415596
55.834031,37.415445
55.834375,37.415413
55.834695,37.415231
55.834991,37.414716
55.83528,37.414716
55.835791,37.415215
55.836216,37.415864
55.83644,37.416486
55.8365,37.417291
55.836422,37.417784
55.836518,37.418771
55.836784,37.420531
55.837043,37.421786
55.837321,37.423363
55.837466,37.424211
55.836917,37.425745
55.836645,37.4267
55.835,37.427574
55.834224,37.428148
55.834302,37.428417
55.834731,37.428975
55.835226,37.430401
55.836138,37.43376
55.836391,37.434822
55.83653,37.436238
55.836108,37.442289
55.835238,37.454134
55.834997,37.45776
55.835021,37.459069
55.835238,37.460185
55.836856,37.465463
55.839006,37.467158
55.83938,37.471772
55.833306,37.476857
55.831036,37.477372
55.829309,37.474948
55.826639,37.477973
55.826561,37.478467
55.827008,37.480269
55.826923,37.482844
55.826597,37.484646
55.826452,37.48587
55.826476,37.487726
55.826561,37.488487
55.827207,37.490934
55.826802,37.490719
55.824242,37.492768
55.82397,37.492157
55.823034,37.490504
55.821391,37.488638
55.820799,37.488101
55.819229,37.487103
55.818516,37.486835
55.817229,37.486588
55.815936,37.486599
55.815338,37.486717
55.815417,37.484325
55.815453,37.48323
55.815423,37.482361
55.815296,37.481095
55.815066,37.479743
55.81477,37.478434
55.814263,37.476782
55.81326,37.473907
55.812765,37.472459
55.812288,37.470871
55.811985,37.469851
55.811768,37.468918
55.811623,37.467877
55.811442,37.465442
55.811381,37.464079
55.81123,37.460968
55.81114,37.459477
55.811073,37.457749
55.811085,37.456365
55.811188,37.454949
55.81143,37.453737
55.811708,37.452707
55.81207,37.451795
55.812632,37.450851
55.813375,37.449847
55.814118,37.448909
55.81233,37.447664
55.809974,37.446591
55.806421,37.446398
55.808463,37.442665
55.809188,37.438416
55.808753,37.433094
55.809067,37.428889
55.810082,37.424297
55.811557,37.420134
55.81378,37.416787
55.816679,37.414169
55.819724,37.413868
55.826053,37.406444
55.827744,37.401423
55.82888,37.397003
55.829182,37.394556
55.830933,37.39505
55.83208,37.395425
55.833028,37.395694
55.833614,37.395855
