Latitude,Longitude
55.793138,37.744392
55.793331,37.742074
55.793452,37.739499
55.793694,37.73671
55.793778,37.736238
55.793742,37.735444
55.793754,37.734264
55.793367,37.733234
55.793029,37.732719
55.792509,37.732053
55.791784,37.731474
55.79107,37.730895
55.790309,37.730036
55.789378,37.728599
55.7889,37.727687
55.788344,37.72685
55.787872,37.725992
55.787546,37.724876
55.787341,37.723588
55.78722,37.72243
55.786929,37.720391
55.787232,37.71949
55.787776,37.716979
55.785515,37.717623
55.785194,37.714286
55.785878,37.714115
55.785732,37.711808
55.784995,37.712044
55.784807,37.710124
55.784493,37.70683
55.784106,37.706712
55.784191,37.705703
55.783308,37.705489
55.784541,37.701938
55.783991,37.700972
55.783858,37.7008
55.783242,37.700682
55.78274,37.700704
55.782716,37.699245
55.786538,37.69859
55.788569,37.699127
55.789645,37.700457
55.791713,37.704555
55.792208,37.705242
55.792885,37.705457
55.793538,37.705221
55.795025,37.703783
55.796657,37.701809
55.798893,37.699255
55.79992,37.698612
55.800791,37.698504
55.801359,37.698697
55.801443,37.69962
55.803667,37.707645
55.80293,37.708783
55.804368,37.711636
55.806543,37.724232
55.807879,37.726432
55.809812,37.729822
55.808773,37.731882
55.808283,37.732354
55.808459,37.735304
55.809027,37.735519
55.809002,37.739274
55.80902,37.746065
55.808163,37.74613
55.806737,37.746688
55.803292,37.746773
55.801395,37.746516
55.798651,37.746301
55.794795,37.744971
55.793139,37.744392
