Latitude,Longitude
55.76124,37.52169
55.76147,37.52268
55.76061,37.5235
55.75982,37.52423
55.75986,37.5244
55.76001,37.52469
55.76037,37.52526
55.76054,37.52556
55.76105,37.52659
55.76209,37.5291
55.76329,37.53193
55.76351,37.53228
55.76454,37.53322
55.76502,37.53401
55.76565,37.53477
55.76651,37.5355
55.76755,37.53598
55.76865,37.53645
55.76997,37.5377
55.77096,37.53886
55.77172,37.53985
55.7721,37.54065
55.77221,37.54107
55.7724,37.54158
55.77265,37.54229
55.77277,37.54283
55.77312,37.54484
55.77324,37.54581
55.77325,37.54659
55.77329,37.54836
55.77332,37.54908
55.773368,37.55084
55.773634,37.5532
55.773899,37.555625
55.774038,37.557342
55.774394,37.56114
55.774605,37.563307
55.774829,37.565356
55.775173,37.56851
55.775372,37.570517
55.775474,37.572072
55.775486,37.57395
55.77551,37.575345
55.77551,37.575731
55.774575,37.575988
55.774913,37.578445
55.775167,37.579057
55.775474,37.580484
55.775354,37.581095
55.774545,37.581278
55.775203,37.583155
55.77513,37.583456
55.773423,37.586309
55.772052,37.58867
55.770073,37.592167
55.769168,37.593637
55.768537,37.594538
55.768232,37.594796
55.767913,37.595375
55.768088,37.595719
55.767599,37.596588
55.767381,37.596191
55.767013,37.596684
55.766787,37.596116
55.766521,37.596459
55.766325,37.595955
55.766226,37.595987
55.765565,37.596974
55.764898,37.597993
55.764264,37.598927
55.764834,37.60045
55.764819,37.600643
55.764523,37.601244
55.763905,37.602531
55.763488,37.603486
55.763177,37.604334
55.762531,37.60369
55.762332,37.604355
55.762414,37.604506
55.761859,37.605299
55.761267,37.606265
55.76111,37.606029
55.760669,37.607038
55.76047,37.606801
55.759939,37.607746
55.759667,37.608121
55.759154,37.608829
55.758273,37.60973
55.757642,37.608797
55.757192,37.608207
55.756247,37.607027
55.756142,37.607392
55.755571,37.606877
55.755058,37.606533
55.753989,37.605997
55.754146,37.604527
55.754176,37.604216
55.754131,37.60384
55.753938,37.603089
55.753654,37.602349
55.753793,37.602285
55.753721,37.601394
55.753986,37.601362
55.754025,37.601115
55.754243,37.600182
55.754213,37.599248
55.754246,37.599152
55.754496,37.597746
55.75523,37.594935
55.755746,37.593047
55.756679,37.589507
55.756407,37.589185
55.756938,37.587983
55.758285,37.584443
55.756697,37.584121
55.755236,37.583863
55.755212,37.576739
55.753316,37.574969
55.752945,37.574454
55.752468,37.573649
55.752057,37.57219
55.752951,37.570313
55.753358,37.56807
55.753606,37.56453
55.753328,37.561419
55.752519,37.558007
55.751191,37.553522
55.7495,37.549939
55.747604,37.546119
55.74613,37.54245
55.745176,37.539167
55.744633,37.535626
55.744705,37.533459
55.744633,37.530198
55.744898,37.526743
55.745816,37.52449
55.747097,37.522473
55.748618,37.520992
55.7502,37.520198
55.751625,37.519168
55.753219,37.51816
55.754934,37.517387
55.756238,37.516722
55.757445,37.515606
55.758454,37.514233
55.759045,37.515692
55.760235,37.518632
55.76108,37.521014
55.761243,37.521657
