Latitude,Longitude
55.661452,37.506115
55.662192,37.505986
55.662713,37.505825
55.663138,37.506093
55.663599,37.506051
55.663926,37.505471
55.664375,37.504892
55.664581,37.503755
55.665103,37.50266
55.665448,37.502403
55.665794,37.501888
55.66657,37.501383
55.667201,37.500235
55.66771,37.500171
55.668238,37.499313
55.668838,37.498025
55.669541,37.495214
55.669711,37.493627
55.66993,37.490944
55.669578,37.489957
55.669711,37.488069
55.669566,37.486782
55.670039,37.485558
55.670196,37.484722
55.670621,37.483842
55.671185,37.483681
55.671749,37.483091
55.671821,37.482554
55.672585,37.482404
55.67398,37.481546
55.675362,37.480473
55.676805,37.478628
55.677678,37.477791
55.678333,37.476203
55.678587,37.475173
55.678721,37.473692
55.680624,37.474079
55.681364,37.474336
55.682503,37.475774
55.68351,37.473328
55.684813,37.475591
55.685928,37.477587
55.685255,37.478359
55.684716,37.478939
55.684019,37.47954
55.683061,37.480183
55.68143,37.481213
55.681776,37.482651
55.682031,37.482844
55.683025,37.484636
55.683006,37.484829
55.682182,37.486288
55.682443,37.486857
55.682309,37.487125
55.683776,37.48985
55.685728,37.488284
55.687358,37.487018
55.687919,37.487742
55.688431,37.488509
55.688377,37.489539
55.688243,37.490268
55.687607,37.491373
55.687322,37.492672
55.686898,37.493691
55.686595,37.494785
55.686825,37.495257
55.68708,37.496373
55.687395,37.496824
55.688098,37.498218
55.688219,37.498884
55.687928,37.499313
55.688013,37.499957
55.687868,37.500364
55.687965,37.501341
55.687746,37.502317
55.687455,37.502617
55.687807,37.503089
55.68794,37.503776
55.688195,37.504162
55.687843,37.504613
55.687916,37.505428
55.687528,37.506458
55.686946,37.507102
55.686643,37.507317
55.685358,37.50708
55.685092,37.506887
55.683879,37.507724
55.68337,37.508969
55.682594,37.509462
55.681806,37.509312
55.681309,37.508282
55.680473,37.508583
55.679854,37.508926
55.678945,37.510288
55.679709,37.511597
55.67846,37.513883
55.676441,37.51812
55.673658,37.52415
55.671742,37.521339
55.669614,37.518228
55.66754,37.515149
55.665551,37.512166
55.663356,37.508894
55.662149,37.507102
55.661452,37.506115
