Latitude,Longitude
55.685928,37.477587
55.685255,37.478359
55.684716,37.478939
55.684019,37.47954
55.683061,37.480183
55.68143,37.481213
55.681776,37.482651
55.682031,37.482844
55.683025,37.484636
55.683006,37.484829
55.682182,37.486288
55.682443,37.486857
55.682309,37.487125
55.683776,37.48985
55.685728,37.488284
55.687358,37.487018
55.687919,37.487742
55.688431,37.488509
55.688377,37.489539
55.688243,37.490268
55.687607,37.491373
55.687322,37.492672
55.686898,37.493691
55.686595,37.494785
55.686825,37.495257
55.68708,37.496373
55.687395,37.496824
55.688098,37.498218
55.688219,37.498884
55.687928,37.499313
55.688013,37.499957
55.687868,37.500364
55.687965,37.501341
55.687746,37.502317
55.687455,37.502617
55.687807,37.503089
55.68794,37.503776
55.688195,37.504162
55.687843,37.504613
55.687916,37.505428
55.687528,37.506458
55.686946,37.507102
55.686643,37.507317
55.685358,37.50708
55.685092,37.506887
55.683879,37.507724
55.68337,37.508969
55.682594,37.509462
55.681806,37.509312
55.681309,37.508282
55.680473,37.508583
55.679854,37.508926
55.678945,37.510288
55.679709,37.511597
55.683494,37.518421
55.687313,37.525352
55.689943,37.530115
55.693319,37.536113
55.693495,37.536467
55.693961,37.5371
55.69587,37.539675
55.697779,37.54226
55.69973,37.544932
55.700917,37.546552
55.702905,37.54917
55.704837,37.551809
55.706249,37.553729
55.707909,37.555983
55.70955,37.558193
55.710398,37.559362
55.710598,37.554877
55.71147,37.550586
55.712682,37.547711
55.714256,37.545007
55.715928,37.543033
55.717987,37.541788
55.720022,37.541145
55.72196,37.541102
55.723655,37.541574
55.725133,37.542647
55.726416,37.544106
55.72724,37.54535
55.728069,37.547743
55.729068,37.546766
55.730582,37.545221
55.731938,37.543945
55.732949,37.542968
55.733585,37.54225
55.734148,37.54152
55.734892,37.540426
55.735631,37.539288
55.736272,37.538355
55.736112,37.53762
55.735952,37.536542
55.73574,37.534825
55.735546,37.533205
55.735428,37.532384
55.735286,37.531607
55.735007,37.530544
55.73445,37.528688
55.733706,37.526221
55.732907,37.523549
55.732295,37.521339
55.731823,37.519864
55.731339,37.518453
55.730927,37.517477
55.73063,37.516908
55.73017,37.516125
55.729329,37.514204
55.728287,37.51193
55.72664,37.508432
55.725859,37.506748
55.725187,37.505106
55.723801,37.501265
55.723449,37.500085
55.722923,37.498819
55.722057,37.496598
55.721615,37.495981
55.7211,37.495386
55.720167,37.494603
55.718871,37.493584
55.718399,37.493348
55.717781,37.49316
55.717164,37.493101
55.715159,37.493283
55.71465,37.493337
55.71402,37.493187
55.712106,37.492146
55.709877,37.490826
55.709296,37.490419
55.708654,37.489786
55.708012,37.48911
55.707509,37.488359
55.706848,37.487146
55.705546,37.484067
55.704262,37.480988
55.703377,37.478713
55.702662,37.477158
55.700875,37.474121
55.69896,37.470935
55.698118,37.469551
55.697355,37.468575
55.695319,37.466987
55.694452,37.466407
55.69241,37.4691
55.690422,37.471675
55.688319,37.474443
55.686592,37.476675
55.685925,37.477587
