Latitude,Longitude
55.725121,37.737507
55.72483,37.738645
55.724334,37.739546
55.722511,37.740865
55.721718,37.742078
55.721596,37.742443
55.720567,37.742582
55.719683,37.743151
55.719447,37.741788
55.718905,37.741842
55.718351,37.742239
55.718332,37.743215
55.718411,37.743998
55.716927,37.744846
55.710271,37.74903
55.713227,37.760531
55.714668,37.766196
55.715904,37.770831
55.716788,37.774415
55.712306,37.777977
55.709823,37.780026
55.709223,37.780616
55.708599,37.785358
55.707351,37.794542
55.708236,37.794714
55.709096,37.795057
55.711276,37.795658
55.712597,37.796108
55.714674,37.796677
55.7166,37.797342
55.717351,37.797492
55.720476,37.798458
55.72084,37.800346
55.721445,37.801162
55.724921,37.790819
55.728505,37.780455
55.730237,37.775777
55.732243,37.771786
55.73437,37.767709
55.733219,37.761937
55.731936,37.761229
55.730991,37.760435
55.730108,37.759233
55.729248,37.757431
55.728703,37.755993
55.728243,37.753676
55.726747,37.744803
55.726121,37.741595
55.724973,37.734997
55.725125,37.736284
55.725119,37.737507
