Latitude,Longitude
55.981334,37.224967
55.980943,37.224903
55.980673,37.225193
55.980582,37.225579
55.98033,37.225471
55.980179,37.225976
55.980312,37.226169
55.980149,37.226491
55.979891,37.226641
55.980041,37.226931
55.979812,37.227199
55.980179,37.229173
55.980101,37.229398
55.980197,37.230224
55.979909,37.230096
55.979836,37.230332
55.979903,37.230611
55.979409,37.230407
55.979319,37.230568
55.979103,37.23045
55.978868,37.230696
55.979054,37.231169
55.979054,37.232177
55.978609,37.232885
55.978459,37.233379
55.978588,37.233878
55.97873,37.234119
55.978778,37.234462
55.979391,37.234988
55.979313,37.23546
55.979397,37.235718
55.97968,37.235514
55.979698,37.236351
55.979403,37.23664
55.979,37.236662
55.979012,37.237123
55.978934,37.237863
55.979127,37.237949
55.978784,37.238528
55.978952,37.238743
55.97873,37.239076
55.978892,37.239784
55.979109,37.239902
55.97894,37.240213
55.979379,37.241039
55.979277,37.241415
55.979283,37.241822
55.979012,37.242402
55.978748,37.242337
55.978627,37.241994
55.978182,37.242369
55.977893,37.242895
55.977755,37.243571
55.976949,37.244145
55.976859,37.243732
55.97639,37.244118
55.975626,37.246854
55.97512,37.247627
55.974302,37.24842
55.974007,37.248828
55.970788,37.252497
55.967997,37.251897
55.967852,37.252884
55.968141,37.253613
55.967617,37.257604
55.967732,37.259922
55.96725,37.260941
55.967016,37.261842
55.96695,37.262475
55.966968,37.263312
55.967118,37.264063
55.967028,37.264482
55.967563,37.267443
55.968243,37.267411
55.968156,37.265646
55.968141,37.263763
55.968099,37.261746
55.968105,37.261177
55.969916,37.261531
55.969916,37.261011
55.97151,37.261488
55.972112,37.262604
55.971962,37.263022
55.972533,37.263376
55.975457,37.265115
55.9795,37.266831
55.979644,37.265608
55.981328,37.266488
55.981978,37.267689
55.982495,37.267325
55.9827,37.266767
55.9827,37.266059
55.982964,37.265243
55.983445,37.265115
55.984721,37.265737
55.986332,37.264342
55.987114,37.2649
55.987355,37.264406
55.988666,37.263162
55.988064,37.26093
55.987439,37.255566
55.98804,37.253313
55.99041,37.257926
55.99124,37.259729
55.992497,37.26254
55.99728,37.2505
55.997641,37.249073
55.998055,37.248065
55.999967,37.248333
56.001476,37.245469
56.0012,37.240104
56.002456,37.236993
56.002835,37.236242
56.004813,37.231146
56.004272,37.229558
56.00456,37.225996
56.004368,37.225352
56.002781,37.225524
56.001879,37.226511
56.001915,37.227519
56.002396,37.228163
56.002613,37.23091
56.00242,37.231532
55.999546,37.229193
55.999186,37.228292
55.998392,37.227648
55.998248,37.227219
55.998993,37.225738
55.999715,37.223421
56.000076,37.221962
56.000112,37.22076
56.000172,37.216705
56.00129,37.212091
56.001296,37.211673
56.000881,37.209505
55.998777,37.210729
55.996624,37.211984
55.99449,37.213303
55.993101,37.214119
55.99265,37.213894
55.991363,37.213475
55.990948,37.213459
55.990557,37.213357
55.989914,37.213132
55.988031,37.21251
55.987039,37.21222
55.987039,37.212445
55.986792,37.213368
55.98678,37.213593
55.986856,37.214237
55.986851,37.214628
55.986919,37.215127
55.986865,37.21634
55.986474,37.21679
55.986113,37.216737
55.986035,37.216898
55.986089,37.217101
55.985875,37.217536
55.985505,37.218121
55.985367,37.218486
55.985277,37.21885
55.985223,37.219258
55.985253,37.220374
55.984898,37.223035
55.984766,37.223539
55.984573,37.223893
55.984724,37.224451
55.984982,37.225009
55.984615,37.225449
55.983894,37.226478
55.983623,37.226414
55.983406,37.226242
55.98319,37.225985
55.982221,37.22518
55.981331,37.224966
