Latitude,Longitude
55.791649,37.574679
55.791468,37.570109
55.791577,37.569369
55.79246,37.566826
55.7936,37.563865
55.793859,37.563339
55.794315,37.562663
55.795774,37.560904
55.797216,37.559348
55.798757,37.557739
55.799266,37.557224
55.799942,37.55658
55.80087,37.555561
55.801335,37.555003
55.802378,37.553662
55.804579,37.550979
55.805788,37.54951
55.80675,37.548158
55.806891,37.548437
55.806888,37.548694
55.806843,37.548973
55.807045,37.549338
55.806309,37.55084
55.805941,37.551848
55.805507,37.553179
55.805061,37.555196
55.804844,37.557191
55.804904,37.559144
55.805043,37.560367
55.805779,37.564938
55.806532,37.569766
55.807292,37.574572
55.807895,37.578241
55.808281,37.58058
55.806722,37.581567
55.805625,37.582232
55.805094,37.582426
55.803521,37.582844
55.802242,37.583177
55.800873,37.583531
55.80015,37.58367
55.798549,37.583906
55.796863,37.584131
55.796338,37.584174
55.795458,37.584239
55.794951,37.584367
55.794692,37.584571
55.794481,37.584786
55.793359,37.586481
55.792783,37.587382
55.792433,37.587844
55.792131,37.588369
55.792119,37.583466
55.791842,37.579743
55.791721,37.576911
55.791748,37.575505
55.791643,37.574669
