Latitude,Longitude
55.907004,37.536488
55.907281,37.536317
55.907353,37.536703
55.909137,37.535823
55.911536,37.534493
55.911994,37.534385
55.9125,37.534085
55.916223,37.532325
55.919079,37.530888
55.923043,37.528935
55.926079,37.527261
55.928013,37.526146
55.929946,37.525116
55.933885,37.52312
55.9401,37.519923
55.941798,37.519086
55.942533,37.522154
55.943556,37.530287
55.943845,37.532433
55.943917,37.533742
55.943845,37.534342
55.944074,37.535973
55.944267,37.536874
55.944327,37.539997
55.944556,37.542861
55.948216,37.540501
55.952514,37.537733
55.954055,37.54447
55.954681,37.543955
55.955452,37.546745
55.955693,37.546788
55.955837,37.548376
55.954754,37.549148
55.954224,37.550007
55.952575,37.551165
55.951792,37.550114
55.951347,37.550479
55.951359,37.551981
55.953399,37.552002
55.953393,37.552624
55.954025,37.552453
55.954242,37.555006
55.951587,37.554942
55.953393,37.560768
55.956764,37.571411
55.955061,37.571872
55.95621,37.578717
55.954489,37.580112
55.954019,37.580133
55.953911,37.579339
55.953092,37.579833
55.952051,37.580219
55.951479,37.580058
55.950549,37.579763
55.949619,37.579446
55.950654,37.570327
55.950702,37.568514
55.951979,37.566014
55.951389,37.562302
55.948126,37.563096
55.946199,37.563289
55.94402,37.563675
55.941383,37.564297
55.941021,37.567194
55.940287,37.567967
55.940202,37.568825
55.939925,37.569254
55.939745,37.5686
55.939691,37.568299
55.936385,37.568857
55.936638,37.566239
55.936511,37.566196
55.936493,37.564694
55.937571,37.564469
55.937535,37.563375
55.937872,37.562978
55.937812,37.562152
55.936878,37.562173
55.934494,37.562313
55.928218,37.56272
55.924568,37.561819
55.922025,37.560853
55.915193,37.559029
55.909288,37.557935
55.908324,37.548644
55.907805,37.543623
55.907215,37.538387
55.907007,37.536724
55.907001,37.536488
