Latitude,Longitude
55.999435,37.150579
55.999616,37.150987
56.00303,37.146931
56.009667,37.139335
56.009655,37.138927
56.013189,37.135001
56.016398,37.131567
56.019883,37.137683
56.01796,37.138348
56.018261,37.139142
56.017516,37.144233
56.018105,37.14552
56.017396,37.149275
56.016446,37.150348
56.01784,37.154447
56.018045,37.157901
56.016218,37.159511
56.01528,37.158652
56.014198,37.159425
56.014048,37.159017
56.01373,37.159028
56.013471,37.16186
56.013934,37.162397
56.013597,37.163856
56.014198,37.164328
56.01388,37.167428
56.014499,37.169864
56.014661,37.171312
56.015178,37.177417
56.015364,37.177911
56.016428,37.179842
56.016975,37.181247
56.017882,37.183479
56.018808,37.184863
56.019661,37.183747
56.02007,37.184155
56.019937,37.187009
56.021356,37.189251
56.018844,37.195699
56.013537,37.190678
56.011253,37.179563
56.010845,37.180217
56.00841,37.181719
56.00805,37.178265
56.006144,37.178876
56.005261,37.17908
56.005098,37.179616
56.005291,37.183629
56.005213,37.18438
56.004353,37.184391
56.004225,37.184428
56.003953,37.182899
56.003483,37.183195
56.003698,37.184726
56.003818,37.185185
56.00365,37.18614
56.003078,37.186687
56.002345,37.186386
56.002147,37.187288
56.002044,37.187277
56.001918,37.18777
56.002032,37.187931
56.00205,37.188822
56.00196,37.189219
56.002303,37.189938
56.002459,37.190388
56.002592,37.190839
56.003036,37.191375
56.003445,37.191654
56.004353,37.194444
56.004395,37.195023
56.004173,37.19571
56.00404,37.195699
56.003806,37.196246
56.003553,37.196278
56.003385,37.196203
56.003217,37.196954
56.003301,37.197319
56.003103,37.19792
56.002327,37.197619
56.002342,37.199191
56.002465,37.200087
56.001738,37.200892
56.00095,37.200784
56.000048,37.20131
55.999826,37.200076
55.999946,37.199551
55.99991,37.19881
55.99964,37.198521
55.999549,37.197512
55.999237,37.197587
55.999062,37.196965
55.99872,37.196911
55.998551,37.197834
55.998347,37.19792
55.998173,37.198639
55.996886,37.199379
55.995515,37.201246
55.993471,37.203027
55.993399,37.203477
55.993603,37.204293
55.992484,37.204443
55.991799,37.205044
55.991631,37.205087
55.990807,37.20469
55.990632,37.20484
55.990506,37.205226
55.990028,37.205274
55.989586,37.20513
55.988804,37.204722
55.988497,37.204711
55.987998,37.20499
55.988395,37.203831
55.988506,37.203343
55.988503,37.202812
55.987968,37.202651
55.987908,37.201943
55.988107,37.20116
55.988191,37.200591
55.988618,37.199991
55.988936,37.199186
55.98881,37.198274
55.988967,37.197512
55.988846,37.196235
55.988946,37.195758
55.989297,37.19498
55.989412,37.194347
55.989739,37.193859
55.990031,37.193113
55.990025,37.192641
55.990235,37.192566
55.990873,37.191375
55.990777,37.191128
55.990843,37.190764
55.991065,37.190732
55.991222,37.190474
55.991156,37.190302
55.99124,37.189916
55.991071,37.189176
55.990915,37.188242
55.990786,37.18776
55.990608,37.187341
55.990157,37.186086
55.990103,37.185603
55.990145,37.185228
55.988095,37.183361
55.986056,37.181558
55.984221,37.179863
55.983391,37.178887
55.981755,37.176462
55.980342,37.173501
55.981442,37.171656
55.982994,37.169478
55.984985,37.167107
55.98703,37.164768
55.989027,37.162472
55.990951,37.160251
55.992893,37.158137
55.996068,37.154532
55.999435,37.150584
