Latitude,Longitude
55.815347,37.486703
55.81526,37.4891
55.81485,37.50136
55.81474,37.51016
55.815148,37.519297
55.811832,37.516701
55.811766,37.516272
55.811567,37.516014
55.810662,37.515134
55.809221,37.513761
55.807593,37.512345
55.806014,37.510886
55.804778,37.515671
55.804603,37.516744
55.80365,37.520391
55.803204,37.520263
55.802661,37.52022
55.799574,37.519361
55.796884,37.518546
55.795702,37.51816
55.795256,37.518181
55.794761,37.517859
55.79449,37.518718
55.794303,37.518804
55.793585,37.518289
55.793476,37.518353
55.793,37.515553
55.79227,37.511358
55.792041,37.509942
55.792035,37.509266
55.791525,37.506723
55.791281,37.504942
55.791175,37.50373
55.792472,37.503418
55.793871,37.503054
55.794927,37.502442
55.795982,37.501637
55.797556,37.500264
55.7992,37.498655
55.800653,37.497206
55.801868,37.496016
55.803346,37.494835
55.804862,37.49372
55.806249,37.49269
55.807793,37.491381
55.809348,37.49005
55.810931,37.48872
55.811823,37.487926
55.81257,37.487432
55.813427,37.487057
55.813981,37.486864
55.815347,37.486714
