Latitude,Longitude
55.751977,37.719469
55.752595,37.722719
55.754131,37.730573
55.755293,37.736495
55.756164,37.74098
55.757253,37.74643
55.758439,37.752524
55.759637,37.753704
55.760254,37.753425
55.762057,37.752417
55.762166,37.752031
55.763642,37.751258
55.764779,37.75055
55.765069,37.750099
55.765529,37.749284
55.766243,37.748576
55.766993,37.748436
55.768934,37.748243
55.770301,37.748072
55.770235,37.746698
55.77015,37.745336
55.771541,37.745057
55.775315,37.744198
55.776863,37.743834
55.780853,37.743533
55.784566,37.743233
55.78812,37.74289
55.788906,37.742954
55.789765,37.743211
55.792352,37.74407
55.793138,37.744392
55.793331,37.742074
55.793452,37.739499
55.793694,37.73671
55.793778,37.736238
55.793742,37.735444
55.793754,37.734264
55.793367,37.733234
55.793029,37.732719
55.792509,37.732053
55.791784,37.731474
55.79107,37.730895
55.790309,37.730036
55.789378,37.728599
55.7889,37.727687
55.788344,37.72685
55.787872,37.725992
55.787546,37.724876
55.787341,37.723588
55.78722,37.72243
55.786929,37.720391
55.787232,37.71949
55.787776,37.716979
55.785515,37.717623
55.785194,37.714286
55.785878,37.714115
55.785732,37.711808
55.784995,37.712044
55.784807,37.710124
55.784493,37.70683
55.784106,37.706712
55.784191,37.705703
55.783308,37.705489
55.784541,37.701938
55.783991,37.700972
55.783858,37.7008
55.783242,37.700682
55.78274,37.700704
55.782716,37.699245
55.78196,37.699395
55.781948,37.700039
55.781863,37.701165
55.781597,37.702753
55.781168,37.70462
55.780539,37.706766
55.77988,37.708278
55.778888,37.709909
55.777546,37.711336
55.775212,37.713482
55.775296,37.713611
55.773821,37.714791
55.773398,37.715145
55.77217,37.715928
55.770857,37.716733
55.769847,37.717591
55.768837,37.718492
55.766775,37.720466
55.765529,37.72081
55.764089,37.72081
55.763091,37.720638
55.762033,37.720295
55.76098,37.719844
55.758125,37.718106
55.757181,37.717612
55.755136,37.717527
55.754192,37.717848
55.752583,37.718921
55.751977,37.719469
