Latitude,Longitude
55.824442,37.670481
55.824225,37.671049
55.823235,37.672047
55.822492,37.672621
55.821628,37.673538
55.821489,37.674107
55.821187,37.674536
55.820577,37.67489
55.820317,37.675201
55.819441,37.67665
55.818982,37.677776
55.818837,37.678441
55.818366,37.679042
55.818215,37.679675
55.818058,37.681574
55.817901,37.682357
55.817339,37.683763
55.81691,37.684986
55.816753,37.68608
55.816784,37.686488
55.81714,37.687454
55.816941,37.687861
55.815932,37.685372
55.815515,37.685104
55.814715,37.68615
55.813962,37.687303
55.813618,37.688012
55.812857,37.68931
55.811437,37.691541
55.810573,37.693086
55.811256,37.694513
55.811002,37.694942
55.810791,37.695254
55.810718,37.695779
55.810767,37.696294
55.810785,37.697292
55.810658,37.6977
55.810174,37.698504
55.810042,37.69976
55.809667,37.700157
55.808453,37.700328
55.80809,37.700672
55.807262,37.701669
55.806453,37.701948
55.805921,37.702002
55.805045,37.701412
55.803141,37.69977
55.802301,37.699148
55.80131,37.698633
55.800482,37.698494
55.799709,37.698676
55.798651,37.699459
55.795218,37.703461
55.793502,37.705242
55.79268,37.705478
55.792063,37.705092
55.791519,37.704234
55.789814,37.700951
55.789065,37.699685
55.788472,37.699127
55.786514,37.69859
55.784156,37.699019
55.781955,37.699384
55.781979,37.696337
55.782016,37.692453
55.781859,37.691681
55.781931,37.689278
55.782233,37.688183
55.782572,37.686102
55.782826,37.685222
55.783781,37.680029
55.784108,37.678012
55.784688,37.674944
55.784942,37.673914
55.785837,37.66973
55.786369,37.666318
55.787348,37.661039
55.787795,37.658958
55.788533,37.655095
55.789536,37.651383
55.790588,37.651297
55.792752,37.650246
55.79459,37.649903
55.797684,37.650418
55.798554,37.650203
55.802035,37.652349
55.803776,37.653679
55.80525,37.65501
55.808223,37.658314
55.814023,37.663292
55.819919,37.668571
55.822431,37.669944
55.824436,37.670481
