Latitude,Longitude
55.680833,37.418299
55.6807,37.417817
55.680906,37.417548
55.678124,37.410435
55.677372,37.411358
55.676384,37.40904
55.675977,37.408268
55.675111,37.406487
55.674589,37.404963
55.673577,37.403311
55.673092,37.403075
55.672837,37.403097
55.672388,37.403579
55.671636,37.403429
55.671024,37.403944
55.670715,37.404293
55.670393,37.404813
55.670233,37.405435
55.670193,37.405886
55.670239,37.406353
55.670381,37.406798
55.669648,37.407849
55.668774,37.409866
55.66798,37.411647
55.667028,37.413536
55.664857,37.415499
55.663808,37.412484
55.662704,37.408279
55.661588,37.402507
55.661564,37.401831
55.661679,37.401026
55.661618,37.400425
55.661406,37.399052
55.661085,37.397303
55.660909,37.39432
55.661,37.393462
55.661709,37.389621
55.661837,37.389192
55.662037,37.388849
55.662734,37.388194
55.664123,37.386982
55.664384,37.38666
55.664499,37.386381
55.664566,37.386038
55.664584,37.385512
55.664523,37.380824
55.664457,37.38033
55.664281,37.379922
55.664087,37.379729
55.662668,37.379321
55.660812,37.378817
55.659708,37.378485
55.65949,37.378249
55.659253,37.377787
55.659059,37.377122
55.659035,37.37135
55.659035,37.370352
55.658792,37.369483
55.658186,37.368979
55.656232,37.368185
55.653315,37.368013
55.653224,37.36811
55.653248,37.368378
55.653284,37.368678
55.653193,37.369033
55.653048,37.369193
55.652969,37.368968
55.652914,37.368646
55.652763,37.368292
55.652599,37.368442
55.652308,37.368646
55.651998,37.368915
55.651367,37.369826
55.651034,37.370985
55.650997,37.374021
55.651094,37.37606
55.651094,37.376629
55.650724,37.376913
55.650415,37.376811
55.650294,37.376714
55.649705,37.376934
55.649129,37.376854
55.648552,37.375481
55.648292,37.37547
55.648298,37.375738
55.648043,37.375652
55.647958,37.374998
55.647491,37.3743
55.647187,37.374343
55.647145,37.375073
55.646927,37.375041
55.646532,37.374279
55.645883,37.374247
55.64493,37.373903
55.64476,37.373174
55.644366,37.373388
55.644008,37.373635
55.64368,37.374139
55.643602,37.37444
55.643219,37.374494
55.643007,37.374386
55.642255,37.375363
55.642054,37.375738
55.641854,37.375663
55.641805,37.375298
55.641569,37.375405
55.641168,37.374815
55.641114,37.374461
55.64075,37.374547
55.640537,37.373979
55.640343,37.373882
55.640258,37.374118
55.639402,37.374236
55.639051,37.374
55.638462,37.374483
55.638292,37.374944
55.638025,37.374558
55.637691,37.374826
55.637825,37.375513
55.636945,37.375363
55.636283,37.376596
55.636223,37.377122
55.635221,37.378055
55.634833,37.377444
55.633898,37.377937
55.633188,37.378517
55.633073,37.379107
55.632593,37.379836
55.632539,37.380775
55.63235,37.3818
55.632429,37.382476
55.63263,37.38283
55.632399,37.384096
55.632602,37.384541
55.632976,37.384836
55.632259,37.387057
55.631932,37.387701
55.631713,37.388527
55.629704,37.388065
55.62852,37.387733
55.627913,37.393623
55.628763,37.394782
55.628775,37.397442
55.630645,37.398043
55.63022,37.399567
55.630523,37.402635
55.63039,37.403451
55.630499,37.404202
55.630184,37.404867
55.630014,37.405875
55.629686,37.409502
55.631118,37.410145
55.635561,37.411969
55.6355,37.412956
55.635925,37.413278
55.635755,37.415231
55.63828,37.415124
55.638365,37.416679
55.639214,37.416551
55.640125,37.416819
55.64044,37.416872
55.64186,37.417269
55.642406,37.41742
55.644075,37.417516
55.645749,37.417484
55.646708,37.41713
55.648122,37.417098
55.647806,37.41551
55.649808,37.414287
55.651107,37.413622
55.651349,37.413718
55.651519,37.414727
55.651701,37.414641
55.651792,37.41507
55.652259,37.41478
55.652987,37.417527
55.655802,37.416475
55.655729,37.414673
55.657767,37.413257
55.657828,37.415682
55.660169,37.414995
55.66046,37.419834
55.660872,37.425477
55.661054,37.427859
55.661042,37.429253
55.65949,37.434682
55.659587,37.435154
55.660593,37.434092
55.662486,37.432333
55.663805,37.431099
55.664918,37.43023
55.666901,37.428696
55.668999,37.427118
55.671018,37.425627
55.67274,37.424361
55.674625,37.422934
55.676608,37.421475
55.678609,37.419941
55.680833,37.418299
