Latitude,Longitude
55.987998,37.20499
55.988395,37.203831
55.988506,37.203343
55.988503,37.202812
55.987968,37.202651
55.987908,37.201943
55.988107,37.20116
55.988191,37.200591
55.988618,37.199991
55.988936,37.199186
55.98881,37.198274
55.988967,37.197512
55.988846,37.196235
55.988946,37.195758
55.989297,37.19498
55.989412,37.194347
55.989739,37.193859
55.990031,37.193113
55.990025,37.192641
55.990235,37.192566
55.990873,37.191375
55.990777,37.191128
55.990843,37.190764
55.991065,37.190732
55.991222,37.190474
55.991156,37.190302
55.99124,37.189916
55.991071,37.189176
55.990915,37.188242
55.990786,37.18776
55.990608,37.187341
55.990157,37.186086
55.990103,37.185603
55.990145,37.185228
55.988095,37.183361
55.986056,37.181558
55.984221,37.179863
55.983391,37.178887
55.981755,37.176462
55.980342,37.173501
55.979015,37.175915
55.977905,37.178222
55.976907,37.180475
55.975475,37.184487
55.974777,37.186622
55.974176,37.188757
55.973177,37.19307
55.972696,37.195216
55.971107,37.202512
55.969735,37.208627
55.969982,37.208874
55.969447,37.211749
55.970361,37.21235
55.970578,37.210848
55.97669,37.212693
55.976365,37.214238
55.976101,37.214303
55.97598,37.215054
55.976606,37.215376
55.976089,37.21662
55.977232,37.218637
55.977978,37.216964
55.980805,37.218852
55.981033,37.219152
55.98143,37.220011
55.981743,37.222113
55.981767,37.223358
55.981334,37.224967
55.982267,37.225203
55.983006,37.225858
55.983283,37.226137
55.983614,37.226437
55.983866,37.226469
55.984372,37.225799
55.984955,37.224978
55.984564,37.223948
55.984757,37.223487
55.984835,37.223229
55.985036,37.222011
55.985244,37.220418
55.98522,37.219399
55.985238,37.21912
55.98534,37.218551
55.98552,37.218079
55.986032,37.217264
55.986098,37.217124
55.986038,37.216964
55.98608,37.216727
55.986393,37.216803
55.986501,37.216813
55.98688,37.21632
55.986904,37.215912
55.986874,37.215504
55.98691,37.215193
55.98685,37.214603
55.98685,37.214142
55.986789,37.213584
55.98682,37.213273
55.987,37.212651
55.987054,37.212221
55.986976,37.211535
55.987,37.211073
55.98712,37.210526
55.98721,37.210462
55.987511,37.209861
55.987583,37.2094
55.987752,37.209078
55.987788,37.208853
55.987776,37.208198
55.987445,37.206793
55.987481,37.206363
55.987529,37.206025
55.987649,37.205763
55.987746,37.20573
55.987866,37.205763
55.987902,37.205419
55.987998,37.20499
