Latitude,Longitude
55.829302,37.393923
55.82888,37.396734
55.827285,37.4027
55.825619,37.406948
55.822985,37.410596
55.819386,37.414201
55.81651,37.414115
55.813997,37.416518
55.812064,37.419007
55.810421,37.423471
55.808995,37.429522
55.808826,37.433255
55.809261,37.43789
55.808681,37.441924
55.80682,37.446044
55.804088,37.447074
55.801792,37.447117
55.799012,37.446302
55.796764,37.446216
55.793162,37.4454
55.791638,37.4448
55.789873,37.441796
55.787842,37.437633
55.786754,37.433942
55.786029,37.429779
55.78644,37.425144
55.787721,37.422097
55.79055,37.419179
55.791542,37.417548
55.79234,37.414244
55.792122,37.411497
55.790623,37.409609
55.787697,37.407978
55.783562,37.404802
55.781216,37.403
55.779257,37.402614
55.777516,37.404202
55.776064,37.40712
55.775714,37.408815
55.774722,37.407613
55.774323,37.406165
55.773664,37.404062
55.772883,37.403064
55.772654,37.402442
55.772339,37.402034
55.772152,37.401562
55.771728,37.401015
55.77168,37.400618
55.771547,37.400361
55.771547,37.399899
55.771305,37.399417
55.771172,37.398075
55.771111,37.396992
55.771208,37.396348
55.771245,37.39579
55.771305,37.394782
55.771148,37.390587
55.771069,37.390136
55.770954,37.386778
55.771843,37.383066
55.772001,37.381896
55.771952,37.380201
55.771644,37.37886
55.771644,37.377691
55.771238,37.374172
55.770924,37.37135
55.771027,37.371178
55.771456,37.370331
55.77214,37.370363
55.772896,37.370234
55.772859,37.369033
55.77471,37.368957
55.778568,37.369151
55.782486,37.369322
55.783526,37.369365
55.784832,37.369644
55.78627,37.370138
55.787298,37.370663
55.787848,37.370685
55.788193,37.370599
55.788507,37.370363
55.788822,37.370009
55.78994,37.368378
55.790587,37.366393
55.791233,37.366951
55.7913,37.369033
55.791632,37.37135
55.792013,37.373367
55.79269,37.374869
55.796111,37.378249
55.79952,37.381575
55.80201,37.383913
55.804064,37.385512
55.805442,37.38637
55.80682,37.387078
55.806971,37.386842
55.807061,37.386338
55.807315,37.38592
55.808777,37.386381
55.808898,37.386188
55.808971,37.385861
55.809067,37.38522
55.809218,37.38528
55.809188,37.385748
55.809647,37.385973
55.809786,37.386231
55.809877,37.386628
55.809708,37.387969
55.80981,37.388205
55.811804,37.388849
55.813858,37.389492
55.815797,37.390083
55.817936,37.390769
55.819978,37.391424
55.821977,37.392078
55.823209,37.392454
55.825057,37.392969
55.825927,37.393172
55.827865,37.393548
55.828741,37.393752
55.829302,37.393923
