Latitude,Longitude
55.75069,37.670466
55.751154,37.669265
55.752042,37.667677
55.753111,37.666046
55.75264,37.664179
55.753769,37.663364
55.754122,37.662795
55.754201,37.662452
55.754466,37.66095
55.754774,37.658772
55.754822,37.657012
55.754786,37.656733
55.754545,37.65506
55.754379,37.654309
55.753995,37.653665
55.753748,37.653118
55.753443,37.65212
55.753162,37.6508
55.752963,37.649534
55.753011,37.647496
55.752939,37.646777
55.752761,37.644374
55.752697,37.643537
55.752709,37.642722
55.752954,37.64063
55.753102,37.639396
55.753123,37.639095
55.753588,37.637754
55.754192,37.636885
55.753899,37.63563
55.753757,37.635008
55.753399,37.633434
55.752534,37.633252
55.749563,37.632383
55.748879,37.632114
55.748286,37.634829
55.747669,37.636953
55.747028,37.638584
55.745769,37.640215
55.742961,37.64339
55.741435,37.644549
55.739269,37.645815
55.736835,37.647124
55.734244,37.648454
55.732017,37.650021
55.730818,37.651115
55.728893,37.654291
55.727355,37.655986
55.726707,37.656587
55.72681,37.663088
55.728057,37.662402
55.728554,37.662101
55.729643,37.661329
55.730667,37.66061
55.731581,37.664741
55.731793,37.665631
55.730981,37.667777
55.730576,37.667648
55.73037,37.667691
55.728935,37.668603
55.725756,37.670588
55.726507,37.674096
55.727337,37.677776
55.727428,37.678002
55.728269,37.678892
55.727839,37.680137
55.728184,37.680405
55.728366,37.680437
55.728384,37.681381
55.729256,37.681274
55.729371,37.683602
55.729541,37.683913
55.730043,37.683849
55.73014,37.685898
55.732949,37.685415
55.732846,37.685882
55.732404,37.687078
55.73116,37.689288
55.729904,37.69137
55.72951,37.692196
55.729353,37.692872
55.729329,37.693301
55.729389,37.693676
55.730406,37.694492
55.732174,37.695897
55.733778,37.697045
55.734711,37.697743
55.735643,37.698397
55.736502,37.698451
55.736363,37.69962
55.736914,37.699341
55.738088,37.698719
55.738748,37.698333
55.738942,37.698279
55.7404,37.697528
55.740988,37.697131
55.741575,37.696616
55.742204,37.695736
55.742791,37.694631
55.744577,37.69093
55.745678,37.688548
55.746689,37.685898
55.747245,37.684782
55.747905,37.683184
55.748238,37.682207
55.748716,37.680437
55.748873,37.679836
55.749085,37.678817
55.749339,37.677175
55.749545,37.675695
55.74972,37.6743
55.749981,37.673002
55.750289,37.671757
55.750689,37.67047
