Latitude,Longitude
55.77551,37.575731
55.774575,37.575988
55.774913,37.578445
55.775167,37.579057
55.775474,37.580484
55.775354,37.581095
55.774545,37.581278
55.775203,37.583155
55.77513,37.583456
55.773423,37.586309
55.772052,37.58867
55.770073,37.592167
55.769168,37.593637
55.768537,37.594538
55.768232,37.594796
55.767913,37.595375
55.768088,37.595719
55.767599,37.596588
55.767381,37.596191
55.767013,37.596684
55.766787,37.596116
55.766521,37.596459
55.766325,37.595955
55.766226,37.595987
55.765565,37.596974
55.764898,37.597993
55.764264,37.598927
55.764834,37.60045
55.764819,37.600643
55.764523,37.601244
55.763905,37.602531
55.763488,37.603486
55.763177,37.604334
55.762531,37.60369
55.762332,37.604355
55.762414,37.604506
55.761859,37.605299
55.761267,37.606265
55.76111,37.606029
55.760669,37.607038
55.76047,37.606801
55.759939,37.607746
55.759667,37.608121
55.759154,37.608829
55.758273,37.60973
55.757642,37.608797
55.757192,37.608207
55.756247,37.607027
55.756142,37.607392
55.755435,37.60957
55.754578,37.61223
55.754442,37.612091
55.753138,37.611415
55.752567,37.611072
55.752335,37.61075
55.751103,37.609956
55.749938,37.609291
55.749331,37.609119
55.749041,37.608883
55.748709,37.610085
55.748443,37.610857
55.747402,37.611737
55.74674,37.612273
55.747712,37.61517
55.748147,37.616779
55.748642,37.619934
55.748932,37.622466
55.749083,37.625727
55.74918,37.628538
55.748902,37.631993
55.749536,37.632336
55.752525,37.633237
55.753316,37.63342
55.753449,37.633624
55.753769,37.635018
55.754677,37.63446
55.754834,37.634332
55.75609,37.632755
55.757123,37.631456
55.757624,37.63063
55.757874,37.63018
55.758828,37.628828
55.759649,37.627701
55.759734,37.628334
55.760524,37.62665
55.759854,37.625888
55.759595,37.624965
55.759459,37.62385
55.759275,37.622605
55.759136,37.621446
55.760917,37.620545
55.761698,37.620148
55.763129,37.620019
55.764759,37.619976
55.765236,37.619869
55.766911,37.621414
55.76749,37.621092
55.768788,37.621082
55.770372,37.621049
55.77205,37.621017
55.773365,37.620996
55.773679,37.620599
55.77364,37.618957
55.774669,37.618786
55.775966,37.618614
55.776672,37.618421
55.778036,37.617906
55.779496,37.617359
55.780175,37.61709
55.780359,37.61694
55.78069,37.61649
55.781704,37.614794
55.782515,37.612295
55.782926,37.61105
55.783297,37.610213
55.783541,37.609366
55.78406,37.607917
55.784419,37.60678
55.784766,37.605782
55.785052,37.605321
55.785318,37.604645
55.785294,37.603733
55.785239,37.602585
55.785113,37.601619
55.785276,37.601662
55.786356,37.601265
55.787414,37.600836
55.787779,37.600643
55.788527,37.600461
55.789378,37.60016
55.790126,37.599967
55.790823,37.599742
55.791471,37.59957
55.792472,37.599205
55.792192,37.595783
55.792171,37.594528
55.792158,37.593519
55.79214,37.59
55.792122,37.588337
55.78999,37.587919
55.788425,37.587565
55.787158,37.5872
55.785843,37.586867
55.784455,37.586513
55.783031,37.586041
55.782398,37.585902
55.78162,37.585623
55.780992,37.585355
55.780335,37.585
55.779773,37.584604
55.779273,37.584056
55.778868,37.583488
55.778244,37.582511
55.777945,37.581986
55.777812,37.581739
55.777553,37.581385
55.776886,37.580001
55.776334,37.57866
55.775939,37.577533
55.775743,37.576986
55.775598,37.576278
55.77551,37.575731
