Latitude,Longitude
55.691634,37.733416
55.692628,37.732601
55.694652,37.731442
55.699621,37.730283
55.701608,37.730133
55.702759,37.729897
55.707266,37.729532
55.70958,37.729285
55.710453,37.726732
55.714038,37.716078
55.716207,37.709534
55.716558,37.70874
55.719877,37.702088
55.721939,37.709346
55.723589,37.714934
55.72176,37.717122
55.722844,37.723281
55.723801,37.728656
55.72443,37.732272
55.725121,37.73622
55.725121,37.737507
55.72483,37.738645
55.724334,37.739546
55.722511,37.740865
55.721718,37.742078
55.721596,37.742443
55.720567,37.742582
55.719683,37.743151
55.719447,37.741788
55.718905,37.741842
55.718351,37.742239
55.718332,37.743215
55.718411,37.743998
55.716927,37.744846
55.710271,37.74903
55.709865,37.747528
55.708005,37.745136
55.700505,37.750124
55.694216,37.754244
55.691368,37.756047
55.691065,37.75594
55.689034,37.754298
55.689252,37.752775
55.689319,37.752635
55.689337,37.752227
55.689634,37.750854
55.689701,37.750307
55.689786,37.750264
55.68978,37.750028
55.689937,37.749406
55.689901,37.74917
55.690022,37.748655
55.690149,37.748526
55.690052,37.748268
55.690295,37.747281
55.690252,37.747056
55.69044,37.745994
55.690374,37.745608
55.690252,37.745575
55.690046,37.742121
55.690258,37.741402
55.691168,37.739793
55.691634,37.73873
55.691919,37.735598
55.691634,37.73342
