Latitude,Longitude
55.81164,37.54114
55.81182,37.54155
55.81217,37.5411
55.8137,37.54026
55.81465,37.53953
55.81505,37.5394
55.81565,37.53908
55.81722,37.53779
55.81924,37.53567
55.82109,37.53307
55.82391,37.53269
55.82589,37.53286
55.82706,37.53277
55.82973,37.53252
55.83108,37.53196
55.83157,37.53359
55.83235,37.53599
55.83278,37.53814
55.83404,37.53912
55.83478,37.53844
55.83512,37.53749
55.8356,37.53702
55.83653,37.53865
55.83745,37.54097
55.8382,37.54307
55.84053,37.54921
55.84325,37.55651
55.84417,37.55899
55.84486,37.5605
55.846506,37.55805
55.848337,37.555088
55.848867,37.556719
55.849168,37.558028
55.849439,37.559509
55.849643,37.560904
55.849667,37.562105
55.849704,37.563607
55.849583,37.565324
55.84933,37.567899
55.849108,37.569916
55.848855,37.571589
55.848457,37.573843
55.847053,37.574229
55.845861,37.574636
55.844596,37.575044
55.844126,37.575216
55.842957,37.576246
55.841753,37.577362
55.84094,37.578091
55.840169,37.578477
55.839078,37.578778
55.83809,37.578713
55.836951,37.57822
55.836132,37.577641
55.834915,37.576074
55.833806,37.57483
55.832915,37.574014
55.831758,37.573542
55.828564,37.573628
55.825189,37.573757
55.822489,37.573885
55.821066,37.574572
55.819126,37.576031
55.817125,37.577533
55.816148,37.578048
55.813544,37.57852
55.812435,37.578864
55.811591,37.579507
55.810554,37.581009
55.809782,37.582747
55.809131,37.584142
55.808624,37.584915
55.808589,37.582898
55.808293,37.58058
55.807521,37.575902
55.80687,37.571976
55.805682,37.564465
55.805031,37.560367
55.804916,37.55908
55.804844,37.557492
55.804928,37.556054
55.80517,37.554595
55.80558,37.553007
55.806171,37.551226
55.806695,37.54996
55.809197,37.545583
55.810487,37.543308
55.811627,37.54112
