Latitude,Longitude
55.637279,37.456129
55.638881,37.459562
55.640774,37.463854
55.643092,37.468725
55.646417,37.475956
55.649196,37.481814
55.64949,37.482469
55.650764,37.485258
55.652111,37.488112
55.653882,37.491985
55.655629,37.495644
55.657352,37.49927
55.658128,37.500901
55.658832,37.502188
55.660287,37.504334
55.661452,37.506115
55.662192,37.505986
55.662713,37.505825
55.663138,37.506093
55.663599,37.506051
55.663926,37.505471
55.664375,37.504892
55.664581,37.503755
55.665103,37.50266
55.665448,37.502403
55.665794,37.501888
55.66657,37.501383
55.667201,37.500235
55.66771,37.500171
55.668238,37.499313
55.668838,37.498025
55.669541,37.495214
55.669711,37.493627
55.66993,37.490944
55.669578,37.489957
55.669711,37.488069
55.669566,37.486782
55.670039,37.485558
55.670196,37.484722
55.670621,37.483842
55.671185,37.483681
55.671749,37.483091
55.671821,37.482554
55.672585,37.482404
55.67398,37.481546
55.675362,37.480473
55.676805,37.478628
55.677678,37.477791
55.678333,37.476203
55.678587,37.475173
55.678721,37.473692
55.680624,37.474079
55.681364,37.474336
55.682503,37.475774
55.68351,37.473328
55.681558,37.470259
55.678709,37.466096
55.675265,37.46129
55.674234,37.459723
55.673555,37.458468
55.672682,37.456612
55.671809,37.45438
55.671009,37.451612
55.669917,37.448029
55.669226,37.446248
55.66822,37.444338
55.667601,37.443416
55.665903,37.441463
55.664496,37.439789
55.663465,37.438116
55.66315,37.437665
55.66258,37.435562
55.66207,37.432665
55.659535,37.435176
55.65939,37.434661
55.655289,37.439446
55.651116,37.444467
55.646905,37.449552
55.642682,37.454338
55.640862,37.456548
55.640182,37.456784
55.637706,37.456097
55.637439,37.455775
55.637275,37.456129
