Latitude,Longitude
55.879657,37.436925
55.879078,37.437633
55.878463,37.438298
55.87745,37.438148
55.876159,37.439521
55.875689,37.44113
55.874494,37.442547
55.873578,37.445357
55.871575,37.448812
55.869934,37.453619
55.868305,37.454627
55.863865,37.455528
55.852943,37.460957
55.851977,37.452074
55.85065,37.43965
55.850082,37.434371
55.849793,37.432086
55.849684,37.430723
55.848972,37.424222
55.848863,37.423084
55.848773,37.42155
55.848785,37.420992
55.84899,37.419372
55.850125,37.415392
55.850426,37.413257
55.850523,37.412173
55.850553,37.410843
55.850517,37.406079
55.850487,37.403751
55.850511,37.403172
55.850758,37.402163
55.851308,37.39858
55.851682,37.396413
55.851784,37.395533
55.851827,37.394792
55.851802,37.393752
55.854295,37.395136
55.854398,37.394224
55.856661,37.395608
55.859521,37.397378
55.860758,37.398097
55.861977,37.398837
55.863141,37.400146
55.864342,37.401359
55.86515,37.402356
55.867081,37.40477
55.867744,37.40565
55.86886,37.407549
55.870085,37.409695
55.870827,37.411165
55.871454,37.412559
55.871279,37.412871
55.871901,37.414276
55.873083,37.41728
55.874066,37.420381
55.875188,37.423889
55.876587,37.428384
55.877661,37.431818
55.877999,37.431453
55.879651,37.436925
