Latitude,Longitude
55.852943,37.460957
55.851977,37.452074
55.85065,37.43965
55.850082,37.434371
55.849793,37.432086
55.849684,37.430723
55.848972,37.424222
55.848863,37.423084
55.848773,37.42155
55.848785,37.420992
55.84899,37.419372
55.850125,37.415392
55.850426,37.413257
55.850523,37.412173
55.850553,37.410843
55.850517,37.406079
55.850487,37.403751
55.850511,37.403172
55.850758,37.402163
55.851308,37.39858
55.851682,37.396413
55.851784,37.395533
55.851827,37.394792
55.851802,37.393752
55.849817,37.392711
55.848537,37.392078
55.847511,37.391842
55.846938,37.391788
55.845924,37.391874
55.84494,37.392228
55.843956,37.392647
55.843732,37.392722
55.842507,37.393687
55.840805,37.394792
55.83999,37.395232
55.839114,37.395522
55.837786,37.39593
55.836892,37.396058
55.835178,37.396123
55.833614,37.395855
55.83275,37.401219
55.832521,37.402485
55.832364,37.403172
55.831676,37.405457
55.831953,37.405704
55.832044,37.406047
55.832418,37.406734
55.83333,37.408139
55.832932,37.409303
55.832763,37.410682
55.83298,37.411454
55.833234,37.411905
55.833288,37.412356
55.833185,37.412913
55.833052,37.413278
55.833221,37.414705
55.833529,37.415596
55.834031,37.415445
55.834375,37.415413
55.834695,37.415231
55.834991,37.414716
55.83528,37.414716
55.835791,37.415215
55.836216,37.415864
55.83644,37.416486
55.8365,37.417291
55.836422,37.417784
55.836518,37.418771
55.836784,37.420531
55.837043,37.421786
55.837321,37.423363
55.837466,37.424211
55.836917,37.425745
55.836645,37.4267
55.835,37.427574
55.834224,37.428148
55.834302,37.428417
55.834731,37.428975
55.835226,37.430401
55.836138,37.43376
55.836391,37.434822
55.83653,37.436238
55.836108,37.442289
55.835238,37.454134
55.834997,37.45776
55.835021,37.459069
55.835238,37.460185
55.836856,37.465463
55.839006,37.467158
55.83938,37.471772
55.842133,37.471729
55.844137,37.468296
55.849859,37.462717
55.852937,37.460957
