Latitude,Longitude
55.636708,37.461386
55.636987,37.460807
55.637157,37.460077
55.637327,37.457481
55.63723,37.456816
55.637096,37.456473
55.637279,37.456129
55.638881,37.459562
55.640774,37.463854
55.643092,37.468725
55.646417,37.475956
55.649196,37.481814
55.64814,37.483402
55.647011,37.485741
55.64655,37.486782
55.646484,37.487318
55.644657,37.492082
55.642655,37.497242
55.640804,37.501974
55.638972,37.506737
55.637109,37.511458
55.635816,37.514655
55.635318,37.516061
55.634863,37.517745
55.634287,37.520481
55.632138,37.518989
55.630208,37.517648
55.62968,37.517155
55.62869,37.516018
55.628405,37.5162
55.62568,37.513003
55.625795,37.51267
55.624957,37.511672
55.622917,37.509334
55.620777,37.506855
55.619423,37.505299
55.618804,37.504591
55.617474,37.502853
55.616133,37.501029
55.614299,37.497929
55.612398,37.494292
55.611135,37.491921
55.609969,37.48985
55.609477,37.48926
55.608657,37.488584
55.60873,37.488273
55.609022,37.488466
55.60958,37.488713
55.610777,37.489045
55.612441,37.489153
55.613181,37.488874
55.616205,37.485355
55.620079,37.480848
55.623782,37.476578
55.62774,37.471901
55.631528,37.467502
55.635461,37.462845
55.636705,37.461386
