Latitude,Longitude
55.733022,37.489271
55.735255,37.487264
55.736817,37.485859
55.737416,37.485269
55.739559,37.483327
55.741563,37.481514
55.743051,37.48013
55.741968,37.476246
55.741106,37.473172
55.740146,37.469969
55.739166,37.466289
55.738815,37.465281
55.738464,37.464594
55.737858,37.462062
55.737586,37.46056
55.737462,37.460394
55.737326,37.460335
55.735837,37.454273
55.736487,37.453683
55.737138,37.453007
55.735649,37.448362
55.734983,37.446548
55.734898,37.445465
55.734735,37.445025
55.734323,37.44334
55.733996,37.443791
55.732749,37.445014
55.731454,37.445679
55.728584,37.446924
55.72684,37.447718
55.723437,37.449177
55.720343,37.450486
55.718066,37.451494
55.715916,37.452396
55.713257,37.453554
55.711313,37.454359
55.709938,37.454702
55.710325,37.45805
55.710301,37.459294
55.710955,37.460539
55.711125,37.462341
55.710253,37.463972
55.71098,37.465603
55.71144,37.465603
55.711561,37.466247
55.711295,37.466933
55.712312,37.468178
55.713475,37.463757
55.714347,37.464401
55.715219,37.465732
55.715534,37.46689
55.714735,37.468693
55.713911,37.467963
55.713584,37.468779
55.713645,37.470023
55.713935,37.470581
55.713742,37.471353
55.714226,37.471525
55.714723,37.470688
55.715292,37.471547
55.715801,37.470624
55.716104,37.471461
55.716964,37.472147
55.718017,37.470452
55.718248,37.469315
55.71941,37.470066
55.718417,37.472083
55.718877,37.472877
55.719689,37.472963
55.721542,37.476761
55.721167,37.478413
55.721154,37.479894
55.721142,37.48279
55.720779,37.484593
55.719544,37.486631
55.719023,37.48661
55.719204,37.487447
55.718865,37.48867
55.718345,37.488584
55.718466,37.490515
55.71809,37.492425
55.718986,37.493133
55.71958,37.492468
55.720137,37.492682
55.720149,37.494614
55.721106,37.495407
55.722039,37.496545
55.722802,37.498562
55.72532,37.496287
55.728663,37.493262
55.731563,37.490612
55.733022,37.489271
