Latitude,Longitude
55.747167,37.522455
55.746749,37.521049
55.74641,37.519794
55.746059,37.51856
55.745745,37.517616
55.745327,37.516511
55.745012,37.515857
55.744341,37.51473
55.743699,37.513936
55.742743,37.512863
55.740975,37.511222
55.738899,37.509248
55.738445,37.508733
55.737816,37.507756
55.736926,37.506018
55.736387,37.504473
55.735159,37.500321
55.734596,37.498422
55.734117,37.495922
55.733579,37.492554
55.733022,37.489271
55.735255,37.487264
55.736817,37.485859
55.737416,37.485269
55.739559,37.483327
55.741563,37.481514
55.743051,37.48013
55.741968,37.476246
55.741106,37.473172
55.740146,37.469969
55.739166,37.466289
55.738815,37.465281
55.738464,37.464594
55.737858,37.462062
55.737586,37.46056
55.737462,37.460394
55.737326,37.460335
55.735837,37.454273
55.736487,37.453683
55.737138,37.453007
55.735649,37.448362
55.734983,37.446548
55.734898,37.445465
55.734735,37.445025
55.734323,37.44334
55.734602,37.442965
55.735419,37.441549
55.736593,37.439081
55.737199,37.437922
55.738464,37.439854
55.738324,37.440251
55.738512,37.44068
55.73847,37.441227
55.738936,37.441838
55.739698,37.439961
55.741563,37.435841
55.742237,37.434393
55.742526,37.433915
55.742967,37.433041
55.744201,37.432343
55.744734,37.431968
55.745024,37.431539
55.745248,37.431056
55.74572,37.431625
55.747554,37.429339
55.748486,37.427987
55.749236,37.429221
55.74949,37.429736
55.74966,37.430294
55.749884,37.430916
55.750065,37.431753
55.750114,37.432274
55.750102,37.432794
55.749557,37.435444
55.749285,37.436785
55.747578,37.436345
55.746586,37.437118
55.744262,37.441152
55.742374,37.445186
55.740969,37.449992
55.740509,37.452911
55.740824,37.456387
55.741793,37.46115
55.743439,37.465742
55.745351,37.469476
55.747385,37.472652
55.74949,37.47454
55.751717,37.475699
55.754041,37.476428
55.756703,37.476643
55.759704,37.476214
55.763333,37.476257
55.765487,37.476986
55.766987,37.478402
55.767688,37.480291
55.768051,37.483552
55.768148,37.487286
55.767737,37.490719
55.76597,37.497199
55.764495,37.500976
55.762559,37.504366
55.761422,37.506984
55.759873,37.511447
55.758179,37.514709
55.756751,37.516339
55.75513,37.517327
55.752274,37.5187
55.749733,37.520416
55.747167,37.522455
