Latitude,Longitude
55.746792,37.612202
55.745593,37.610292
55.743487,37.608468
55.742023,37.607953
55.739904,37.607438
55.738415,37.606966
55.736357,37.603082
55.733984,37.598919
55.730691,37.596023
55.728269,37.594499
55.724878,37.591795
55.721814,37.588148
55.718363,37.584328
55.716679,37.581882
55.715177,37.579479
55.714293,37.577569
55.712754,37.573449
55.711482,37.5689
55.710598,37.563557
55.710344,37.559223
55.710695,37.554523
55.71187,37.54976
55.713929,37.545576
55.716013,37.542936
55.71812,37.541649
55.720397,37.540876
55.722565,37.541198
55.724745,37.542228
55.726562,37.544138
55.727446,37.545704
55.728838,37.550039
55.730703,37.554008
55.733028,37.558987
55.735025,37.563385
55.737217,37.566583
55.740364,37.569737
55.743402,37.572548
55.745412,37.574071
55.745484,37.576496
55.745884,37.579929
55.745521,37.581431
55.745394,37.582783
55.744002,37.583266
55.744056,37.58362
55.743754,37.583792
55.743953,37.585621
55.744105,37.587429
55.744867,37.586924
55.746277,37.585862
55.746816,37.587783
55.74687,37.588405
55.747088,37.590508
55.747336,37.592761
55.747657,37.595862
55.74707,37.599316
55.748891,37.599703
55.748698,37.60246
55.748595,37.602932
55.750392,37.604273
55.748976,37.609391
55.74877,37.609401
55.748486,37.610818
55.747403,37.61173
55.746792,37.612202
