Latitude,Longitude
55.852516,37.496767
55.854925,37.494063
55.857099,37.491574
55.85908,37.489213
55.858152,37.485351
55.860694,37.482562
55.862524,37.480201
55.86604,37.476511
55.86645,37.477712
55.866678,37.479085
55.8671,37.478785
55.872457,37.473163
55.876153,37.469258
55.876538,37.469344
55.879607,37.466382
55.880655,37.46488
55.8811,37.463679
55.881894,37.462735
55.882243,37.461276
55.882472,37.458915
55.883026,37.458894
55.883056,37.461748
55.883206,37.464323
55.883507,37.466232
55.884362,37.47061
55.885053,37.473464
55.884319,37.475223
55.883348,37.477519
55.88206,37.48063
55.880643,37.483935
55.879722,37.486006
55.878798,37.488194
55.878097,37.489911
55.877068,37.492282
55.875936,37.494932
55.874895,37.497475
55.874146,37.499105
55.872939,37.501949
55.871687,37.504845
55.870507,37.507656
55.869526,37.509995
55.867557,37.514598
55.866714,37.512795
55.866534,37.513203
55.864661,37.510478
55.86427,37.509663
55.864023,37.508761
55.863897,37.508375
55.863054,37.506787
55.862187,37.505092
55.861055,37.506637
55.859303,37.508976
55.858063,37.51066
55.857689,37.511122
55.857313,37.509963
55.856708,37.508246
55.855883,37.505983
55.855061,37.503697
55.854094,37.500994
55.85392,37.500554
55.853576,37.49976
55.853137,37.498397
55.85286,37.497646
55.85251,37.496767
