Latitude,Longitude
55.794709,37.446033
55.794516,37.448737
55.793814,37.44878
55.793821,37.450239
55.793385,37.450239
55.793428,37.454498
55.791778,37.454498
55.791493,37.457728
55.791209,37.460313
55.790865,37.462803
55.790514,37.465206
55.790405,37.465785
55.789499,37.46865
55.788779,37.474465
55.788441,37.476857
55.788471,37.47749
55.788556,37.477962
55.788785,37.478349
55.78893,37.478713
55.788562,37.482211
55.788187,37.48485
55.787776,37.488369
55.787691,37.489196
55.787673,37.489753
55.787779,37.490794
55.787885,37.491642
55.788308,37.494807
55.788725,37.497993
55.788852,37.499061
55.78919,37.500536
55.790768,37.502725
55.791753,37.503486
55.791028,37.503637
55.789263,37.504023
55.787625,37.504398
55.786246,37.50472
55.784693,37.505042
55.783405,37.505321
55.781712,37.505772
55.779898,37.506158
55.77884,37.506372
55.777637,37.506802
55.777159,37.507005
55.77685,37.507209
55.776439,37.507553
55.775677,37.508304
55.774734,37.509151
55.772817,37.510954
55.771281,37.512477
55.771006,37.512724
55.7692,37.513368
55.768148,37.513743
55.763938,37.517852
55.762765,37.519547
55.76147,37.5215
55.761258,37.521736
55.761107,37.520974
55.760091,37.518292
55.75905,37.515674
55.758475,37.514097
55.759885,37.511383
55.761143,37.507477
55.762523,37.504302
55.763781,37.502456
55.766104,37.496663
55.767918,37.489882
55.768208,37.486277
55.767991,37.482072
55.767168,37.478424
55.765934,37.477308
55.763224,37.476192
55.758385,37.476493
55.756739,37.476836
55.752044,37.475763
55.748946,37.474218
55.747009,37.472244
55.744492,37.467952
55.742676,37.463833
55.741393,37.459756
55.740788,37.455979
55.74057,37.45216
55.741296,37.448898
55.742434,37.445079
55.74408,37.441688
55.746671,37.437096
55.748413,37.436152
55.749987,37.437525
55.750979,37.440057
55.751717,37.44377
55.752697,37.446623
55.75415,37.453576
55.755384,37.456279
55.758651,37.461258
55.761458,37.464047
55.763394,37.46482
55.767289,37.462717
55.774256,37.455164
55.776965,37.449885
55.777231,37.447224
55.774692,37.437611
55.774063,37.433577
55.774643,37.425423
55.775393,37.417699
55.775829,37.408128
55.777256,37.404524
55.779432,37.402549
55.781561,37.40315
55.786615,37.40727
55.791137,37.409802
55.79237,37.413235
55.791499,37.417613
55.788912,37.420874
55.786833,37.42405
55.786035,37.429157
55.786663,37.43332
55.787824,37.43744
55.789275,37.440701
55.792225,37.44525
55.794691,37.446023
