Latitude,Longitude
55.80365,37.52039
55.8032,37.52026
55.80266,37.52022
55.79957,37.51936
55.79688,37.51855
55.7957,37.51816
55.79526,37.51818
55.79476,37.51786
55.79449,37.51872
55.7943,37.5188
55.79359,37.51829
55.79348,37.51835
55.793,37.51555
55.79227,37.51136
55.79204,37.50994
55.79204,37.50927
55.79153,37.50672
55.79128,37.50494
55.79118,37.50373
55.787782,37.504491
55.785044,37.505114
55.781912,37.5058
55.778847,37.506487
55.77764,37.506873
55.776856,37.507324
55.775432,37.508676
55.772065,37.511787
55.771316,37.512559
55.770484,37.512924
55.769334,37.513278
55.768109,37.51375
55.766503,37.515349
55.765024,37.51684
55.763868,37.517988
55.762613,37.519748
55.761846,37.520917
55.761463,37.521497
55.76124,37.52169
55.761466,37.522677
55.760612,37.523503
55.759821,37.524232
55.75986,37.524404
55.760014,37.524694
55.76037,37.525262
55.760543,37.525563
55.761047,37.526593
55.762085,37.529103
55.763292,37.531925
55.763512,37.532279
55.764539,37.533223
55.765015,37.534006
55.765646,37.534768
55.766512,37.535498
55.767547,37.53598
55.768652,37.536453
55.769971,37.537697
55.77096,37.538856
55.771715,37.539854
55.772101,37.540647
55.77221,37.541066
55.772403,37.541581
55.77265,37.542289
55.772771,37.542825
55.773121,37.544842
55.773244,37.545808
55.773254,37.546591
55.773287,37.548362
55.773323,37.54908
55.773417,37.550797
55.773673,37.553007
55.773809,37.554402
55.775016,37.55393
55.775405,37.55437
55.77628,37.555067
55.776334,37.554241
55.7773,37.551119
55.77755,37.550615
55.778929,37.548512
55.779737,37.547171
55.78063,37.545701
55.781912,37.544853
55.783529,37.544102
55.784024,37.543437
55.784965,37.542557
55.785683,37.541742
55.787004,37.543609
55.789447,37.547192
55.790629,37.548737
55.791016,37.548243
55.791836,37.549359
55.792071,37.548844
55.792581,37.549649
55.793751,37.546988
55.794746,37.544735
55.796076,37.54172
55.7974,37.538738
55.79872,37.535755
55.799993,37.532826
55.801096,37.530359
55.801283,37.529779
55.80214,37.52641
55.802978,37.523095
55.80365,37.520391
