Latitude,Longitude
55.61047,37.640751
55.613348,37.636331
55.614539,37.635086
55.616154,37.63397
55.61769,37.633134
55.619663,37.631996
55.624508,37.629357
55.625334,37.628949
55.626396,37.628563
55.629504,37.627791
55.630948,37.62734
55.632599,37.626932
55.636022,37.626095
55.639445,37.625259
55.640009,37.625098
55.639891,37.627136
55.63977,37.62815
55.639553,37.628692
55.639735,37.629534
55.6397,37.630634
55.639651,37.632844
55.639955,37.634786
55.640379,37.636513
55.640222,37.637463
55.640719,37.63897
55.640574,37.640268
55.640707,37.641148
55.641035,37.64177
55.638632,37.641255
55.638195,37.645493
55.637904,37.649817
55.637709,37.652714
55.637527,37.654967
55.637855,37.654774
55.638365,37.654795
55.638207,37.65737
55.637819,37.662777
55.637054,37.673957
55.636672,37.680169
55.636399,37.686874
55.635136,37.686424
55.632976,37.685694
55.632223,37.685394
55.630912,37.684729
55.630354,37.684235
55.629322,37.683066
55.62829,37.68181
55.626535,37.679707
55.624781,37.677476
55.623191,37.675502
55.621551,37.673506
55.620653,37.672423
55.619949,37.671468
55.619099,37.670051
55.618285,37.66885
55.617702,37.667756
55.616986,37.666039
55.616439,37.664215
55.615237,37.659559
55.614393,37.655718
55.613355,37.650707
55.612765,37.647961
55.61183,37.643905
55.610731,37.64118
55.61047,37.640751
