Latitude,Longitude
55.645422,37.580047
55.643917,37.579919
55.643383,37.579189
55.642788,37.579189
55.64257,37.580176
55.642176,37.58097
55.64115,37.582021
55.641041,37.581056
55.638893,37.581571
55.637291,37.580755
55.634378,37.577344
55.632763,37.577193
55.631828,37.58127
55.631306,37.584618
55.631222,37.585927
55.630178,37.585648
55.629133,37.58524
55.628903,37.584468
55.628672,37.584146
55.625491,37.583025
55.625091,37.585685
55.624107,37.585492
55.623998,37.58635
55.624265,37.587101
55.623464,37.588249
55.623786,37.589022
55.623992,37.589666
55.624083,37.590213
55.624138,37.590792
55.624095,37.591511
55.624028,37.592112
55.623512,37.595449
55.62231,37.603356
55.621521,37.608388
55.620665,37.614117
55.622243,37.614868
55.621782,37.617829
55.621175,37.622346
55.621054,37.623429
55.621035,37.624148
55.621132,37.62461
55.619463,37.625243
55.61854,37.632667
55.621734,37.630843
55.625036,37.629062
55.626493,37.628547
55.629467,37.627817
55.631276,37.627238
55.632539,37.626916
55.63232,37.623032
55.632636,37.6205
55.633364,37.619792
55.634202,37.619857
55.637382,37.619835
55.640562,37.619728
55.640926,37.612926
55.64135,37.60563
55.641763,37.598163
55.641969,37.594258
55.642139,37.592155
55.642382,37.590331
55.642661,37.589043
55.643098,37.587541
55.64439,37.583293
55.645422,37.580053
