Latitude,Longitude
55.623282,37.580541
55.625491,37.583025
55.625091,37.585685
55.624107,37.585492
55.623998,37.58635
55.624265,37.587101
55.623464,37.588249
55.623786,37.589022
55.623992,37.589666
55.624083,37.590213
55.624138,37.590792
55.624095,37.591511
55.624028,37.592112
55.623512,37.595449
55.62231,37.603356
55.621521,37.608388
55.620665,37.614117
55.622243,37.614868
55.621782,37.617829
55.621175,37.622346
55.621054,37.623429
55.621035,37.624148
55.621132,37.62461
55.619463,37.625243
55.61854,37.632667
55.616568,37.63375
55.614596,37.635006
55.613515,37.636164
55.612222,37.638021
55.610467,37.640756
55.610127,37.64007
55.60955,37.639147
55.608949,37.638267
55.60771,37.636958
55.606519,37.635778
55.605305,37.634577
55.604163,37.633332
55.605347,37.629867
55.605973,37.628064
55.607121,37.624599
55.607886,37.62152
55.608408,37.618934
55.608918,37.616155
55.60989,37.610351
55.610097,37.609117
55.607102,37.607669
55.603039,37.605716
55.603191,37.604557
55.603555,37.604718
55.603695,37.603881
55.603944,37.603205
55.60443,37.600223
55.604041,37.600008
55.604716,37.595738
55.604788,37.595084
55.604946,37.589902
55.606252,37.590224
55.60644,37.588663
55.606519,37.587101
55.60593,37.585793
55.604752,37.582091
55.604491,37.5806
55.604454,37.578132
55.604989,37.577145
55.606167,37.575879
55.60658,37.574656
55.606641,37.574227
55.606179,37.573755
55.605997,37.573197
55.606082,37.571609
55.606787,37.570386
55.607722,37.569613
55.60839,37.569871
55.608329,37.573583
55.608876,37.574592
55.610843,37.575343
55.611335,37.57575
55.612155,37.575579
55.6132,37.574441
55.615301,37.579978
55.615568,37.579892
55.61575,37.580428
55.616248,37.580943
55.616734,37.581093
55.61694,37.579806
55.617997,37.5806
55.617814,37.581565
55.618385,37.58178
55.618324,37.580836
55.61847,37.579784
55.61898,37.578626
55.619782,37.57942
55.620049,37.578862
55.619235,37.57736
55.61963,37.575815
55.620194,37.574484
55.622101,37.576866
55.621979,37.578154
55.623279,37.580535
