Latitude,Longitude
55.604163,37.633332
55.605347,37.629867
55.605973,37.628064
55.607121,37.624599
55.607886,37.62152
55.608408,37.618934
55.608918,37.616155
55.60989,37.610351
55.610097,37.609117
55.607102,37.607669
55.603039,37.605716
55.603191,37.604557
55.603555,37.604718
55.603695,37.603881
55.603944,37.603205
55.60443,37.600223
55.604041,37.600008
55.604716,37.595738
55.604788,37.595084
55.604946,37.589902
55.606252,37.590224
55.60644,37.588663
55.606519,37.587101
55.60593,37.585793
55.604752,37.582091
55.604624,37.581458
55.604236,37.581759
55.603325,37.581995
55.602596,37.581716
55.602584,37.580836
55.601478,37.58002
55.597833,37.579784
55.595902,37.580149
55.595938,37.579012
55.594881,37.578497
55.592548,37.577413
55.592208,37.577875
55.587736,37.576727
55.587092,37.57707
55.586663,37.577521
55.585007,37.576555
55.583847,37.575311
55.58347,37.574667
55.582206,37.573508
55.58203,37.573733
55.581787,37.573755
55.581568,37.573712
55.580723,37.57266
55.579356,37.578561
55.57769,37.585437
55.576639,37.590184
55.576359,37.590978
55.576037,37.591558
55.575642,37.59203
55.574481,37.592963
55.572068,37.594798
55.570037,37.596386
55.569332,37.596933
55.568633,37.597308
55.567065,37.597405
55.566888,37.597973
55.566846,37.598564
55.566967,37.601675
55.567229,37.601589
55.568791,37.601181
55.570329,37.600645
55.571393,37.600495
55.571679,37.600624
55.57222,37.601079
55.572712,37.601621
55.574122,37.603992
55.574754,37.605226
55.574985,37.606127
55.575107,37.606986
55.574961,37.610226
55.574791,37.613123
55.576462,37.613326
55.578407,37.613562
55.58037,37.613799
55.58446,37.614271
55.586472,37.614539
55.588219,37.614791
55.589917,37.615065
55.590437,37.615225
55.59116,37.615558
55.591858,37.615976
55.592436,37.616331
55.593481,37.617275
55.594343,37.618337
55.595103,37.619549
55.595607,37.620386
55.597363,37.624377
55.598164,37.626276
55.598729,37.627306
55.599458,37.628358
55.600351,37.629366
55.601281,37.630332
55.602824,37.631909
55.603923,37.633057
55.604154,37.633336
