Latitude,Longitude
55.670278,37.554684
55.673213,37.546015
55.675456,37.548462
55.679178,37.552431
55.681931,37.555371
55.682076,37.555564
55.680658,37.558075
55.67793,37.562903
55.677578,37.563847
55.675638,37.56949
55.67485,37.571743
55.671758,37.580755
55.670121,37.585605
55.669041,37.584425
55.666337,37.581528
55.663814,37.578781
55.661837,37.576636
55.660042,37.574704
55.656621,37.571014
55.652156,37.56625
55.64945,37.563868
55.649645,37.563031
55.649814,37.561787
55.650652,37.555693
55.651185,37.551809
55.651574,37.550071
55.652083,37.547882
55.65286,37.545715
55.65394,37.543355
55.654485,37.542368
55.655238,37.540715
55.655535,37.539846
55.655759,37.539052
55.657446,37.540898
55.659168,37.542765
55.661631,37.545404
55.664408,37.548408
55.666943,37.551069
55.668968,37.553257
55.670278,37.554684
