Latitude,Longitude
55.814994,37.486642
55.815344,37.486739
55.815417,37.484325
55.815453,37.48323
55.815423,37.482361
55.815296,37.481095
55.815066,37.479743
55.81477,37.478434
55.814263,37.476782
55.81326,37.473907
55.812765,37.472459
55.812288,37.470871
55.811985,37.469851
55.811768,37.468918
55.811623,37.467877
55.811442,37.465442
55.811381,37.464079
55.81123,37.460968
55.81114,37.459477
55.811073,37.457749
55.811085,37.456365
55.811188,37.454949
55.81143,37.453737
55.811708,37.452707
55.81207,37.451795
55.812632,37.450851
55.813375,37.449847
55.814118,37.448909
55.81233,37.447664
55.809974,37.446591
55.806421,37.446398
55.802493,37.447235
55.799157,37.446205
55.794709,37.446033
55.794516,37.448737
55.793814,37.44878
55.793821,37.450239
55.793385,37.450239
55.793428,37.454498
55.791778,37.454498
55.791493,37.457728
55.791209,37.460313
55.790865,37.462803
55.790514,37.465206
55.790405,37.465785
55.789499,37.46865
55.788779,37.474465
55.788441,37.476857
55.788471,37.47749
55.788556,37.477962
55.788785,37.478349
55.78893,37.478713
55.788562,37.482211
55.788187,37.48485
55.787776,37.488369
55.787691,37.489196
55.787673,37.489753
55.787779,37.490794
55.787885,37.491642
55.788308,37.494807
55.788725,37.497993
55.788852,37.499061
55.78919,37.500536
55.790768,37.502725
55.791741,37.503454
55.792479,37.503315
55.793821,37.502939
55.794951,37.502285
55.796027,37.501501
55.797495,37.500203
55.798662,37.498551
55.799883,37.496899
55.803001,37.494206
55.803732,37.493573
55.80566,37.492897
55.806228,37.492554
55.808203,37.490869
55.810107,37.489271
55.811641,37.487972
55.811895,37.487747
55.812565,37.487329
55.813447,37.48691
55.813973,37.486739
55.814994,37.486642
