Latitude,Longitude
55.730661,37.660642
55.731823,37.665803
55.730879,37.667777
55.730558,37.66767
55.730237,37.667756
55.727197,37.669676
55.725769,37.670599
55.726534,37.674252
55.727296,37.677597
55.727415,37.678002
55.728281,37.678871
55.726743,37.683345
55.725756,37.686263
55.724,37.691295
55.72216,37.696659
55.721312,37.699041
55.720785,37.700146
55.71875,37.692979
55.716413,37.684847
55.714747,37.679074
55.713657,37.679911
55.711343,37.681628
55.710113,37.682722
55.706243,37.686166
55.706337,37.68762
55.706376,37.689063
55.706358,37.691091
55.70614,37.69123
55.704637,37.690286
55.70162,37.688205
55.6995,37.686359
55.697288,37.683581
55.698148,37.678881
55.698221,37.675405
55.700233,37.671886
55.700445,37.66723
55.703056,37.667552
55.705322,37.667723
55.705467,37.667702
55.708363,37.666801
55.711307,37.665792
55.713766,37.665127
55.717158,37.664065
55.718175,37.663657
55.71872,37.663571
55.722971,37.663636
55.725236,37.663528
55.726846,37.663099
55.728481,37.662134
55.730661,37.660642
