Latitude,Longitude
55.720276,37.617738
55.722287,37.617062
55.723219,37.616751
55.72486,37.616
55.726253,37.615463
55.726925,37.615098
55.727119,37.61762
55.727288,37.619926
55.729202,37.619594
55.729516,37.622705
55.729474,37.623188
55.729407,37.623403
55.729946,37.62351
55.730037,37.623896
55.731696,37.624239
55.733621,37.624357
55.735685,37.624336
55.736599,37.624314
55.738548,37.624486
55.739293,37.624475
55.740382,37.624658
55.740509,37.624765
55.741448,37.624958
55.742464,37.625023
55.743899,37.624905
55.744988,37.624604
55.745811,37.625033
55.745981,37.626407
55.746628,37.625913
55.746779,37.625913
55.747826,37.625623
55.748135,37.62528
55.748371,37.625237
55.749133,37.625173
55.748534,37.619304
55.748026,37.616472
55.746792,37.612202
55.745593,37.610292
55.743487,37.608468
55.742023,37.607953
55.739904,37.607438
55.738415,37.606966
55.736357,37.603082
55.733984,37.598919
55.730691,37.596023
55.728269,37.594499
55.724878,37.591795
55.721814,37.588148
55.718363,37.584328
55.716679,37.581882
55.715177,37.579479
55.714293,37.577569
55.713069,37.5792
55.7117,37.581002
55.710949,37.582204
55.711046,37.582654
55.710986,37.583577
55.711143,37.584757
55.711228,37.585186
55.71118,37.58568
55.713081,37.588126
55.713203,37.58774
55.713723,37.588427
55.713954,37.588019
55.715419,37.589757
55.715989,37.589242
55.716631,37.589456
55.717164,37.590293
55.717684,37.590465
55.719065,37.592654
55.718181,37.59452
55.720143,37.597535
55.72027,37.597267
55.720416,37.597546
55.720046,37.598437
55.721263,37.60026
55.720731,37.602889
55.720276,37.60526
55.719507,37.609283
55.721421,37.610045
55.721003,37.614358
55.720052,37.615624
55.720276,37.617738
