Latitude,Longitude
55.840762,37.663475
55.844421,37.668281
55.846835,37.671543
55.847958,37.671629
55.849901,37.671972
55.851748,37.672101
55.85281,37.672315
55.85444,37.672895
55.855429,37.673538
55.856697,37.674804
55.857928,37.676285
55.858929,37.67783
55.85975,37.678924
55.860933,37.68034
55.862465,37.682508
55.863793,37.684611
55.864275,37.685533
55.865192,37.6871
55.866182,37.688623
55.867545,37.690898
55.869017,37.693108
55.871611,37.697142
55.872926,37.699137
55.874205,37.701305
55.87552,37.703665
55.877184,37.706433
55.878801,37.708772
55.880236,37.710918
55.881816,37.713342
55.884373,37.717376
55.885917,37.719715
55.885049,37.721346
55.884421,37.722998
55.883891,37.724286
55.88406,37.72729
55.88447,37.728384
55.88541,37.731131
55.885881,37.732461
55.8857,37.732719
55.885193,37.731946
55.884023,37.730627
55.882805,37.729564
55.882263,37.729307
55.881696,37.729221
55.881044,37.729436
55.878487,37.7345
55.877329,37.733298
55.876533,37.731195
55.874917,37.731667
55.874338,37.729693
55.873891,37.727912
55.872938,37.724221
55.873433,37.722505
55.872275,37.719501
55.870827,37.716861
55.870791,37.716432
55.869681,37.71508
55.868064,37.712291
55.865591,37.707828
55.865289,37.70815
55.864239,37.706648
55.863201,37.709008
55.860921,37.70948
55.860522,37.717999
55.853028,37.721561
55.850976,37.719887
55.850396,37.720187
55.849551,37.719286
55.849189,37.717784
55.848634,37.716582
55.846895,37.714222
55.847403,37.712677
55.84733,37.711433
55.847451,37.710274
55.847934,37.705532
55.850155,37.701348
55.848586,37.701154
55.84873,37.699266
55.84826,37.69903
55.847403,37.696584
55.849153,37.694524
55.849889,37.693988
55.852497,37.693773
55.853197,37.69461
55.85386,37.694009
55.855164,37.692722
55.856105,37.689589
55.855997,37.688966
55.855623,37.689181
55.855417,37.688859
55.855526,37.687743
55.854947,37.686906
55.853993,37.688172
55.853559,37.689953
55.852629,37.693237
55.850662,37.692314
55.84797,37.690211
55.847197,37.688966
55.845217,37.685276
55.842489,37.680104
55.842091,37.680555
55.841269,37.679697
55.841245,37.678538
55.840461,37.678366
55.839772,37.677916
55.839,37.676864
55.838492,37.675427
55.838311,37.673495
55.838384,37.671993
55.838794,37.670051
55.839338,37.668013
55.839947,37.665814
55.840569,37.663925
55.840756,37.663475
