Latitude,Longitude
55.644749,37.579993
55.643917,37.579919
55.643383,37.579189
55.642788,37.579189
55.64257,37.580176
55.642176,37.58097
55.64115,37.582021
55.641041,37.581056
55.638893,37.581571
55.637291,37.580755
55.634378,37.577344
55.632763,37.577193
55.631828,37.58127
55.631306,37.584618
55.631222,37.585927
55.630178,37.585648
55.629133,37.58524
55.628903,37.584468
55.628672,37.584146
55.625491,37.583025
55.62367,37.580986
55.621946,37.578154
55.622104,37.576995
55.62177,37.57634
55.62112,37.575643
55.620161,37.574506
55.619202,37.57721
55.620076,37.57899
55.619773,37.579591
55.618995,37.578647
55.618728,37.579055
55.618437,37.579935
55.618327,37.580857
55.61834,37.58178
55.617817,37.581587
55.617902,37.580514
55.616919,37.579784
55.616749,37.581029
55.616263,37.580922
55.615607,37.579935
55.615134,37.579377
55.613191,37.574377
55.611045,37.5756
55.608855,37.574495
55.608356,37.573607
55.608398,37.56988
55.607733,37.569615
55.606799,37.570352
55.606648,37.571257
55.606074,37.571559
55.60603,37.573427
55.606251,37.573867
55.606642,37.574221
55.606034,37.576025
55.605002,37.577067
55.604382,37.578108
55.604624,37.581458
55.604236,37.581759
55.603325,37.581995
55.602596,37.581716
55.602584,37.580836
55.601478,37.58002
55.597833,37.579784
55.595902,37.580149
55.595938,37.579012
55.594881,37.578497
55.592548,37.577413
55.592208,37.577875
55.587736,37.576727
55.587092,37.57707
55.586663,37.577521
55.585007,37.576555
55.583847,37.575311
55.58347,37.574667
55.582267,37.573551
55.582306,37.572795
55.581723,37.569662
55.584287,37.55904
55.587119,37.547281
55.586718,37.546852
55.589732,37.534621
55.59074,37.530308
55.589598,37.529343
55.589452,37.528785
55.589622,37.527948
55.589987,37.527562
55.590595,37.527476
55.591579,37.526296
55.591931,37.525588
55.593523,37.518764
55.594155,37.516361
55.594993,37.513679
55.596123,37.510782
55.597679,37.507585
55.599307,37.505117
55.602502,37.501298
55.606207,37.497092
55.608757,37.493981
55.608697,37.493251
55.608855,37.492715
55.610227,37.490976
55.609802,37.490183
55.609377,37.489625
55.609,37.48926
55.608502,37.488895
55.608563,37.48853
55.609019,37.488825
55.609468,37.48926
55.60993,37.489764
55.610591,37.490901
55.611144,37.491942
55.612869,37.495182
55.613944,37.497221
55.615109,37.499324
55.616136,37.501008
55.617474,37.502859
55.618819,37.504613
55.620792,37.506866
55.622723,37.509108
55.624696,37.511393
55.625813,37.512713
55.625716,37.513056
55.627537,37.515095
55.628454,37.5162
55.626712,37.518979
55.626092,37.519966
55.625631,37.521017
55.62432,37.524418
55.626001,37.527122
55.626256,37.527058
55.626505,37.526639
55.627088,37.525963
55.627416,37.526049
55.627835,37.525652
55.628229,37.525051
55.628684,37.524011
55.628988,37.524021
55.629989,37.524483
55.630287,37.524837
55.630687,37.525834
55.631404,37.527787
55.631792,37.528442
55.631361,37.530534
55.631458,37.53077
55.631355,37.5321
55.630809,37.532701
55.630542,37.533495
55.630724,37.536199
55.631009,37.538012
55.630948,37.540372
55.631628,37.540683
55.632951,37.541488
55.63445,37.542453
55.636223,37.543569
55.637248,37.544234
55.637291,37.544546
55.637394,37.544803
55.637552,37.544943
55.637722,37.544964
55.637952,37.544846
55.638128,37.544932
55.638686,37.545458
55.63919,37.546091
55.63953,37.546648
55.6401,37.547914
55.640877,37.549695
55.641253,37.550768
55.641733,37.552345
55.642764,37.551798
55.643383,37.55226
55.644214,37.551991
55.644275,37.552442
55.64504,37.552238
55.645543,37.555789
55.645489,37.556122
55.645167,37.555864
55.643771,37.558278
55.643589,37.558793
55.64362,37.559405
55.64379,37.559984
55.644639,37.561433
55.644936,37.561658
55.645658,37.561905
55.64669,37.56286
55.647084,37.563117
55.647806,37.563192
55.64814,37.563439
55.64854,37.563954
55.648759,37.564684
55.648759,37.565274
55.648637,37.565714
55.648346,37.566497
55.647885,37.566529
55.647673,37.566904
55.647388,37.569029
55.646732,37.573192
55.646302,37.575359
55.645707,37.577526
55.644748,37.579994
